IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
30996-4435;20120102;SUCESSO;2;;2;2;33;;;6;;;;;6;;2;;;;;2;;7;;2;;;;;;;;;4;2;2;1;1;;;14;;;;1;;;1;;;;;;;;;;13;;;;3;;1;1;;;;4;;15;1;;;9;;2;;;;;3;2;2;;;;;;37;;;2;1;14;;1;2;1;1;1;1;1;;1;1;;;7;;6;;4;2;;;10;2;1;;4;1;1;2;1;;;;;2;;;2;1;;;;1;;;4;3;13;6;;;9;1;4;3;;;;300
31031-5384;20120202;SUCESSO;3;1;2;2;71;4;3;9;1;;;;10;;6;3;;;1;;;29;;13;7;4;1;3;2;1;1;;1;;;6;6;7;7;18;2;2;2;3;;;1;;1;1;1;1;;;;;27;7;2;1;5;1;;;;3;1;3;;29;2;;2;13;5;2;;;2;1;1;1;1;;;;;;59;1;1;1;;19;;;10;6;3;3;2;3;;4;3;2;;11;;10;;4;2;1;;13;5;2;;6;4;2;3;3;2;1;;;4;1;1;2;1;;;;;;;;;;;;;2;1;;;;;;543
31077-4434;20120102;SUCESSO;2;1;1;1;64;3;1;11;;;;;6;;1;;;;;2;;18;;5;4;1;;2;1;1;;2;2;1;1;;;;;17;1;1;1;1;;;5;;2;1;1;1;;;;;6;1;;1;4;;3;2;1;1;1;;;13;;;;6;1;4;3;2;;;3;3;4;;;;;;36;1;3;4;1;11;;1;8;5;4;3;2;4;;7;7;1;;8;;7;;2;;;;8;6;3;;3;3;2;;;;;;;2;1;1;1;1;;;;2;1;1;2;2;6;2;1;1;6;1;2;2;1;;;397
31136-5799;20130101;SUCESSO;2;1;1;;73;2;;2;;;1;;19;1;6;2;;;3;1;;25;;7;3;2;;7;6;5;1;3;3;1;1;;;1;1;8;1;1;;2;;1;;;1;1;1;1;;2;2;;12;5;1;;1;1;;;;4;1;;;35;5;;1;10;3;1;;;4;1;3;;7;;;;;;87;;5;4;;19;;1;8;4;;;;1;;6;5;4;;12;;11;;9;3;2;;25;5;4;;21;5;4;8;2;6;1;;;2;1;1;;3;1;;;4;2;4;12;8;7;3;1;1;10;;9;7;1;;;635
31155-4433;20120102;SUCESSO;3;3;;;43;4;1;5;;;;;2;;1;;;;;;;10;;;;;;;;;;;;;;;;;;20;;;;3;;2;;;1;2;2;2;;;;;4;1;;1;1;;;;;;;;;4;;;;3;1;;;;;;;;;;;;;;47;;3;1;1;10;;;4;4;2;2;;;;1;;;;6;;3;;1;;;;14;1;;;4;1;;2;;1;1;1;;3;3;3;;;;;;;;;1;1;;;;;1;;1;1;;;;243
31158-5384;20120202;insucesso;1;1;;;27;2;1;2;;;1;1;3;;1;;1;;;1;;5;1;;;;;1;1;1;;;4;;;1;1;;;7;;;;;;;3;;5;1;1;1;;3;;3;9;;;;5;;3;3;;2;1;3;;10;1;;;6;;4;2;2;1;1;1;1;3;;3;1;1;1;32;1;2;6;1;8;;4;2;;;;;1;1;2;2;1;1;6;;6;2;5;2;2;2;7;3;;1;5;2;;2;1;2;2;2;1;1;1;1;;7;;;5;1;1;1;1;1;6;4;1;1;8;1;1;1;2;;;307
31158-5799;20130101;SUCESSO;2;1;1;1;16;;;3;;;;;1;;1;;;;1;;;5;;;;;;1;1;1;;;1;;;1;1;;;4;1;1;1;1;;;;;2;1;1;1;;;;;1;;;;;;;;;1;;;;2;1;;;1;;;;;1;;;;;;;;;;14;;;;;1;;;;;;;;;;1;1;1;;1;;1;;1;1;1;;3;1;1;;1;1;1;1;1;1;1;;;2;1;1;1;;;;;;;;;;2;1;1;1;1;;;;1;;;105
31165-4448;20120101;insucesso;2;1;1;1;50;5;2;11;2;1;;;2;;1;;;;;;2;16;;7;1;;;2;;;;;1;;;;;;;20;1;1;1;5;1;1;1;;;1;1;1;;1;;1;3;1;;;1;;;;;1;;;;5;;;;3;1;1;;;1;;2;1;3;;2;1;;;47;;5;2;;15;2;2;5;3;1;;;2;1;4;3;2;;12;1;9;1;4;3;2;1;25;1;1;;6;;;3;;2;1;1;1;2;1;1;1;1;1;;;;;;;;10;4;2;;3;;;;2;2;2;370
31170-5490;20120202;SUCESSO;4;2;2;2;109;5;;9;6;;;;21;2;16;2;5;3;;;;23;;9;1;1;1;7;5;1;;;8;2;2;6;5;10;10;18;1;1;1;9;;2;;;2;1;1;1;;;;;42;15;1;3;8;1;4;1;1;8;4;;;58;10;2;2;33;7;8;4;1;4;2;1;;1;;1;;;;78;3;4;9;4;29;;4;10;6;4;3;2;;;;;;;12;;8;;3;3;1;;20;5;2;;8;3;2;3;2;1;1;;;4;2;2;2;;;;;;;;4;4;11;4;2;;12;3;3;3;3;1;;828
31191-4434;20120102;SUCESSO;3;3;;;122;9;3;19;5;;;;21;;13;1;5;3;1;2;;23;;12;8;7;4;1;1;1;1;11;7;4;4;;;;;34;;;;13;;1;4;;2;2;2;2;;;;;37;6;2;1;17;2;9;5;2;7;5;3;2;44;7;2;2;29;4;13;7;4;1;;7;5;6;1;;;;;51;6;6;16;5;23;;8;13;10;6;5;4;1;;5;3;1;;12;;8;;3;2;1;;12;4;2;;5;2;1;4;2;1;;2;;3;3;3;;16;6;;;16;10;14;14;11;6;;;;15;1;12;10;;;;948
31210-5799;20130101;SUCESSO;3;1;1;1;24;2;1;1;;;;;1;1;;;;;;;;8;;3;2;1;1;;;;;;;;;;;;;5;1;1;1;1;;;1;;;1;1;;;;;;1;;;;;;;;;;;;;3;1;;1;1;;;;;;;;;;;;;;;48;;;2;1;11;;1;4;2;2;2;1;;;1;1;;;8;;8;;5;3;3;;22;2;1;;16;2;1;6;2;4;1;;;3;2;1;1;;;;;;;;;;;;;;;;;;;;;237
31219-5490;20120202;SUCESSO;3;2;1;1;49;1;;4;;;1;;3;;2;;;;;;;18;;6;2;;;9;9;;;1;;;;;;;;12;1;1;1;1;;1;1;;2;1;1;1;;2;;1;6;;;;3;;1;1;1;1;1;4;;8;1;;;5;;2;1;1;1;1;;;;;;;;;57;2;2;1;;14;;;5;;;;;1;;1;1;;;15;;15;;2;;;;31;5;1;;7;3;;3;2;2;1;3;;3;2;2;1;2;;;;3;1;2;;;;;;;;;;;;;;366
31256-5061;20120201;insucesso;;;;;33;;;7;2;;2;1;1;;;;;;;;;12;;4;;;;4;2;1;;;;;;;;;;12;;;;3;;1;;2;;;;;;5;2;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;21;;1;;;7;1;;2;;;;;;;;;;2;5;;3;;1;;;;10;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;154
31271-4434;20120102;insucesso;2;;2;2;28;1;;5;;1;;;4;;2;;1;;;;;2;;;;;;2;2;2;;;;;;1;1;1;;10;1;1;1;1;;;1;;;;;;1;1;;;9;;;;6;;2;1;;1;;2;;13;;;;5;;3;1;;;;;;3;;;;;;36;;;2;;8;;1;2;1;;;;;;;;;;6;;6;;2;2;1;1;12;2;;2;2;2;;2;1;1;1;;;2;;;2;1;1;1;1;1;;;1;;;;;;1;;1;;;;;227
31292-5384;20120202;SUCESSO;3;1;2;2;43;1;1;2;;;;;11;3;8;1;;;4;;;12;;6;3;3;2;4;2;1;3;1;1;;;;;1;1;8;2;2;2;2;;;;;;1;1;1;;;;;13;4;2;;;;;;;6;5;;;17;8;1;3;12;4;;;;6;5;;;1;;2;;2;1;23;;2;4;1;10;;2;7;6;4;4;3;3;;4;3;2;;7;;5;;3;2;2;;7;4;3;;3;2;1;2;2;2;1;1;;3;1;1;2;36;15;;;2;1;1;2;1;17;7;4;2;5;;2;1;;2;;463
31295-4433;20120102;SUCESSO;4;2;2;2;49;1;;5;;;;;11;;;;;;;1;;6;;4;;;;;;;;;2;1;;1;1;;;17;1;1;1;3;;;;;;;;;;;;;6;2;1;;;;;;;;;;2;18;3;2;;2;1;;;;;;3;;;;;;;;14;;2;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;2;2;4;;;;;;;3;;1;1;1;1;3;;1;;;;;203
31306-4433;20120102;SUCESSO;2;1;1;1;33;;;1;;;;;;;;;;;;;;8;;3;;;;1;1;1;;;1;1;1;1;1;;;13;1;1;1;1;;;;;;1;1;1;;;;;3;;;;;;;;;;;;;7;2;;1;2;;;;;;;;;;1;2;;;;46;1;1;1;;11;;;3;2;1;1;;;;3;3;;;6;;4;;1;1;1;;16;3;1;;3;1;;3;1;2;1;1;;2;1;1;1;1;;;;;;;1;1;;;;;2;1;1;1;;;;227
31311-5489;20120202;insucesso;1;;1;1;25;1;;2;;;;;5;;2;;;;;;;5;;2;;;;;;;;;2;;;1;1;;;7;;;;;;;3;;3;;;;;;;;2;;;;;;;;;;;;;10;;;;2;;;;;;;;;;;;;;;19;;;;;5;;;;;;;;1;1;2;1;1;;3;;2;;2;;;;2;1;;;2;1;;;;;;;;1;;;1;;;;;;;;4;3;;;;;3;;2;2;;;;135
31311-6030;20130101;SUCESSO;3;1;;;27;;;6;;;;;4;;2;;;;;2;;2;;;;;;;;;;;;;;1;;1;1;18;;;;;;;1;;3;2;2;1;;;;;11;;;;3;;3;2;1;1;1;;;14;;;;7;;1;1;;1;;2;;1;;;;;;17;;2;;;5;;;;;;;;;;1;1;;;3;;3;;2;1;1;;4;1;1;;3;;;1;;1;1;;;3;3;1;;;;;;;;;1;1;5;;;;3;;1;1;1;1;;195
31313-6401;20130102;SUCESSO;2;;2;2;97;5;1;14;1;;1;;29;;20;1;10;6;;2;;17;;9;4;3;2;2;2;;7;2;7;2;2;;;3;3;28;1;1;1;6;;1;5;;4;;;;;2;;;41;11;3;2;25;9;12;7;4;2;2;5;5;42;1;;1;33;1;20;10;5;1;1;3;1;4;1;;;;;55;1;3;9;5;24;;6;14;9;4;2;1;4;;5;4;3;;9;;8;;4;3;2;;11;4;3;;4;3;2;3;2;2;;;;2;;;2;21;4;;;2;2;2;4;3;12;2;1;;12;3;4;3;2;;;849
31316-4434;20120102;insucesso;;;;;15;;;;;;1;1;2;;2;;;;;;;3;;2;;;;;;;1;1;2;;;;;;;1;;;;;;;;1;;;;;;1;1;1;3;1;;1;;;;;;1;1;;1;3;;;;2;1;;;;1;1;;;;;;;;;5;;;;;3;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;1;;;;;2;1;;;1;1;1;;;4;2;1;1;3;;;;3;;;84
31316-5490;20120202;SUCESSO;2;1;1;1;35;;;2;;;;;1;;;;;;;;;6;;1;;;;;;;4;;2;;;;;;;9;1;1;1;2;;1;;;;;;;;3;1;1;2;;;;;;;;;;;;;6;;;;;;;;;;;1;;1;;;;;;19;3;;1;;2;;;1;;;;;;;;;;;2;;1;;1;;;;2;;;;1;;;;;;;1;;2;1;1;1;6;;;;;;;;;7;2;2;1;4;;;;2;;;149
31317-4114;20120101;SUCESSO;4;2;2;2;55;3;2;8;;;;;7;1;1;;1;1;;;1;21;;8;3;3;3;;;;;;1;;;;;;;19;1;1;1;4;;1;;;4;2;2;2;;;;;7;3;;;5;3;2;1;1;2;1;;;20;6;1;2;6;;4;2;1;2;1;;;1;2;2;;1;1;48;2;2;7;2;16;;3;7;7;5;5;5;;;1;;;;3;;2;;;;;;3;;;;1;;;;;;;;;4;2;2;2;2;;;;;;;;;;;;;2;1;;;;1;;378
31331-4434;20120102;SUCESSO;2;1;1;1;14;1;;4;;;;;1;;;;;;;;;6;;3;2;1;;2;2;2;;;;;;;;;;5;1;1;1;;;;1;;;1;1;1;;;;;1;;;;1;;;;;1;;;;3;;;;1;;1;;;;;;;1;;;;;;22;;;;;9;;;4;2;;;;;;;;;;4;;4;;2;1;;;9;2;1;;5;1;;2;;1;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;138
31336-4434;20120102;SUCESSO;4;;4;4;176;7;2;29;12;;;;18;;9;2;3;1;1;;3;32;;14;6;4;2;5;3;3;4;5;4;2;2;;;;;58;2;2;2;23;;3;4;;2;;;;;3;;3;21;7;1;1;11;3;6;2;;4;2;2;3;43;5;1;1;19;5;10;5;2;2;1;7;1;8;1;3;;2;;106;3;8;6;3;31;;3;11;7;2;1;1;1;;4;3;3;;16;;12;;10;6;5;;32;4;3;;22;1;1;11;1;7;5;1;;4;;;4;13;3;;;5;4;3;6;6;8;3;2;;13;3;5;5;4;4;;1067
31340-4433;20120102;SUCESSO;2;2;;;37;2;1;3;;;;;6;1;4;1;2;1;;1;;16;;5;3;2;1;;;;;;2;2;2;1;1;;;14;;;;;;;1;;1;2;2;2;;1;1;;9;1;;1;3;;2;1;1;1;;1;1;12;3;1;;6;1;3;2;1;1;;1;;2;1;;;;;49;;2;2;;23;;1;12;7;4;3;1;4;;5;4;2;;11;;10;;6;2;1;;20;5;4;;7;3;3;2;1;1;1;;;2;2;2;;2;;;;;;;4;4;;;;;4;;4;4;;;;401
31358-4435;20120102;SUCESSO;2;;1;1;171;8;3;4;;;14;9;1;;;;;;;;40;46;;17;8;5;2;8;8;4;3;1;6;1;1;2;2;3;3;27;;;;1;;;;;;;;;;17;1;12;53;7;;1;24;4;13;10;6;6;4;1;4;58;6;;2;45;3;18;9;8;4;4;3;2;1;1;51;;46;37;143;7;1;1;1;51;;1;18;10;6;4;2;1;;9;7;2;;25;;21;;8;5;4;;42;7;6;;17;6;3;8;3;5;3;5;;2;1;;1;15;3;;;1;1;;8;7;21;6;4;1;20;2;7;6;1;10;;1412
31359-4435;20120102;insucesso;;;;;21;;;6;1;;2;2;1;;;;;;;;;4;;2;1;1;1;;;;;2;;;;1;1;;;12;;;;4;2;;;1;4;;;;;4;;4;2;1;;;;;;;;;;;;4;;;;1;1;;;;;;;;1;2;;;;;19;;3;1;1;12;1;1;8;6;5;2;1;2;1;2;1;;;4;;3;1;;;;;7;2;2;;2;1;1;;;;;;;;;;;4;;;;2;2;1;;;;;;;1;;;;;;;188
31359-6590;20130201;insucesso;2;2;;;44;;;;;;5;2;2;;;;;;;;;9;;4;4;2;;;;;;1;3;;;1;1;;;8;;;;;;;;;2;;;;1;8;1;4;2;;;;1;;;;;;;;1;5;1;;;2;;1;;;;;;;1;1;1;1;;;28;;1;;;6;1;;5;3;;;;;;2;1;1;;3;1;2;;1;1;1;1;4;1;1;;2;;;1;;1;1;;;2;2;2;;7;1;1;1;5;4;4;;;;;;;3;1;;;;;;225
31369-4433;20120102;SUCESSO;2;;2;2;72;7;1;10;3;;24;13;3;1;3;2;;;;;7;21;;10;4;3;2;3;2;;;;3;3;2;;;2;2;25;2;2;2;10;;4;3;;;;;;;25;4;14;14;5;2;1;;;;;;5;3;;;15;3;;;12;5;;;;5;3;2;2;1;1;9;;9;7;33;3;1;1;;12;;1;4;3;2;2;2;2;;8;8;5;;11;;9;;5;3;3;;20;6;3;;8;3;1;6;;6;5;3;;2;;;2;3;;;;2;;;4;2;;;;;5;1;4;2;;;;610
31380-4434;20120102;insucesso;2;1;1;1;52;1;;21;6;3;;;1;;;;;;;;;16;2;7;4;3;2;1;1;;;;1;;;2;2;;;29;;;;9;4;3;4;;4;;;;;;;;11;4;;2;3;;1;;;;;;;12;1;;;5;2;1;;;;;1;;1;1;;;;;40;1;5;6;3;12;2;1;7;5;3;2;1;1;;4;3;2;;13;;10;;7;6;3;2;16;3;2;;9;3;2;8;3;6;3;1;1;2;2;1;1;1;;;;;;;;;6;3;1;;2;;;;;;;443
31384-5061;20120201;SUCESSO;2;2;;;19;;;6;1;;;;2;1;2;;;;;;;3;;;;;;;;;;;;;;1;;1;1;11;;;;6;;2;;;;2;2;2;;3;;3;8;3;;;2;;2;1;1;;;;1;8;2;1;;7;1;2;2;1;;;;;;1;;;;;9;;1;4;4;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;;1;1;;;;;;1;1;;;;;1;;1;1;;;;150
31386-4435;20120102;insucesso;1;;1;1;15;1;1;4;;;1;1;2;;1;;;;;1;;2;;;;;;;;;;;;;;1;1;;;10;1;1;1;;;;2;;2;;;;;4;;3;8;1;;;2;;1;1;;1;1;1;;8;1;;;4;;2;1;1;1;1;2;1;1;1;;;;;11;;1;1;1;2;1;;2;1;;;;;;1;1;;;2;;2;1;1;1;1;1;2;1;;;1;;;1;;1;1;;;1;;;1;1;;;;;;;3;3;;;;;3;;3;3;;2;1;157
31400-4448;20120101;SUCESSO;2;1;1;1;59;2;1;14;3;;;;3;1;2;;1;;;;;13;;4;;;;3;1;;;;1;;;3;3;;;19;1;1;1;3;;1;1;;;1;1;1;;;;;13;1;;;4;;;;;1;1;;;19;1;1;;10;;4;;;1;1;;;1;;;;;;29;;;3;2;7;;2;1;;;;;;;1;1;1;;10;;7;;5;2;1;;9;;;;6;;;3;;2;2;;;2;1;1;1;;;;;;;;;;;;;;2;1;;;;;;309
31410-4603;20120102;insucesso;2;2;;;29;1;;1;;;;;1;;;;;;;;;7;;1;;;;;;;;;;;;1;1;;;5;;;;1;;1;;;;2;2;2;;;;;2;2;;;;;;;;;;;;3;1;;;2;2;;;;;;;;;;;;;;27;1;1;2;2;9;;1;4;1;;;;;;;;;;1;;1;;;;;;1;;;;;;;;;;;;;2;2;2;;1;1;;1;;;;1;1;;;;;1;;1;1;;;;136
31410-5384;20120202;insucesso;3;1;2;2;39;1;;10;6;;;;7;1;6;;3;;;;;11;1;1;;;;2;2;1;;;1;;;1;1;;;14;2;2;2;10;2;1;;;;;;;;;;;11;6;;2;4;;1;;;;;;;14;2;;;10;4;3;1;;;;;;;;;;;;23;;1;2;2;6;;1;2;1;1;;;1;1;2;2;;;5;;5;2;2;;;;8;3;2;1;3;1;;;;;;;;3;1;1;2;;;;;;;;;;;;;;1;1;;;;;;279
31410-6400;20130102;insucesso;2;1;1;1;22;2;1;2;;1;;;5;2;2;;1;;;;;5;;3;3;2;2;1;1;;;1;1;;;2;2;1;;4;;;;2;;1;1;;;1;1;1;;;;;5;2;;;2;;1;1;;;;;;10;4;;;3;1;1;1;1;;;1;1;1;;;;;;10;;1;1;;5;;;4;3;2;1;1;;;;;;;1;;1;;1;1;1;1;1;1;;1;1;1;;1;1;1;1;;;2;1;1;1;2;;;;1;1;1;1;1;;;;;1;;1;1;;;;171
31436-4433;20120102;insucesso;;;;;27;1;;;;;6;6;4;;1;;;;;1;;7;;2;;;;1;1;;;3;;;;1;1;;;12;;;;1;;;1;;;;;;;8;1;7;7;3;;1;;;;;;;;1;;12;1;;1;7;3;;;;;;1;1;;;;;;;49;;;;;14;;;3;3;2;1;1;;;1;1;;1;4;;4;;;;;;12;;;;;;;;;;;1;1;;;;;5;;;1;4;3;;10;5;;;;;6;;6;5;;3;3;279
31437-6590;20130201;insucesso;2;1;1;1;7;1;;2;;;;;1;;;;;;;1;;2;;;;;;;;;;;;;;;;;;3;1;1;1;;;;;;;1;1;1;;1;;;4;;;;3;;1;1;;;;;;3;;;;3;;2;1;1;;;1;1;;;;;;;8;;;;;4;;;1;1;;;;;;;;;1;1;;1;;1;;;;1;;;;1;;;;;;;;;2;1;1;1;;;;;1;;1;;;;;;;;;;;;;;77
31444-5061;20120201;insucesso;3;2;;;77;4;;11;;4;;;7;;4;;3;;;;;21;1;6;1;1;;3;3;;;;1;;;9;9;1;;23;;;;1;;;6;;1;3;3;2;;;;;10;1;;1;6;;5;5;;;;3;;23;8;;1;10;1;6;5;5;;;;;1;;;;;;73;1;2;2;1;29;;1;9;3;;;;2;2;8;8;4;;23;1;22;;10;4;1;;35;10;7;2;17;10;7;7;6;3;1;;;4;3;2;;1;;;;1;1;;1;1;9;2;;;4;;1;1;1;;;644
31447-4435;20120102;SUCESSO;3;;3;3;101;3;;11;3;;;;27;2;19;4;8;5;;1;;8;;3;1;1;1;;;;;;7;1;1;3;3;4;4;19;1;1;1;5;;1;1;;;;;;;1;;;41;8;2;1;14;1;7;5;1;1;1;;;55;5;;1;35;6;12;7;5;;;1;1;1;;1;;1;1;19;;;2;1;4;;1;1;1;1;;;;;;;;;2;;1;;;;;;3;1;;;;;;;;;;1;;3;;;3;;;;;1;;1;2;2;43;8;2;;11;4;1;1;3;;;597
31451-4448;20120101;SUCESSO;3;2;1;1;143;12;2;4;1;;;;12;1;7;1;1;;;2;3;28;;8;1;1;1;15;12;3;1;1;1;;;5;4;6;6;16;;;;5;;2;1;;;1;1;1;;1;;;42;16;;1;6;1;;;;3;1;;4;40;7;;1;26;8;3;;;1;;6;4;1;1;11;;7;3;92;1;6;4;1;30;;1;7;3;3;2;1;;;2;;;;29;;22;;5;1;1;;44;7;1;;13;4;;3;;2;2;8;;3;2;2;1;8;3;;;3;1;1;;;2;1;1;1;4;3;;;;3;;844
31453-4433;20120102;SUCESSO;2;;2;2;30;1;;7;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;17;1;1;1;;;;3;;1;;;;;;;;7;;;;2;;1;1;1;;;1;;10;;;;6;;2;1;1;;;2;1;1;;;;;;23;1;;2;;8;;1;8;2;;;;1;;1;1;1;;2;;1;;1;;;;2;1;;;1;1;;1;;;;1;;2;;;2;;;;;;;;2;2;;;;;2;;2;2;;;;181
31456-4917;20120201;insucesso;;;;;25;2;1;1;;;;;;;;;;;;;;12;2;2;1;1;;1;;;;;1;;;;;;;3;;;;1;;1;;;;;;;;;;;2;1;;;1;;;;;;;;;4;1;;1;1;;1;;;;;;;1;1;;;;;24;1;;2;1;5;;;3;2;;;;;;;;;;6;;3;;3;1;1;1;5;1;;1;4;1;;2;1;2;1;;;;;;;1;;;;;;;2;1;4;2;1;;2;;1;1;;;;154
31462-4448;20120101;SUCESSO;2;1;1;1;40;5;;7;1;;;;5;1;;;;;;;1;10;;6;5;3;1;2;2;;1;;1;;;;;1;1;12;1;1;1;2;;1;1;;3;1;1;1;;3;1;2;9;1;;;;;;;;1;;;;13;1;;1;6;1;;;;1;;2;;3;2;3;;1;;29;2;2;5;4;14;;3;9;4;1;;;;;3;3;3;;5;;5;;4;2;1;;6;3;1;;5;3;1;2;2;1;;;;2;1;1;1;4;1;;;;;;;;15;11;4;2;5;2;;;2;4;;352
31469-6030;20130101;insucesso;;;;;36;;;4;1;;;;8;;4;;1;;;2;;8;2;4;2;1;;2;1;;;1;3;;;1;1;;;11;;;;2;;;2;;;;;;;;;;23;1;;;9;;7;4;;1;1;4;;25;4;;2;18;;7;5;2;1;1;3;3;2;;;;;;40;1;;6;4;14;;4;8;4;1;1;1;1;;1;;;;8;1;5;;2;;;;15;3;1;1;7;2;;3;2;1;1;;;;;;;;;;;2;;2;8;8;3;;;;8;;7;7;;;;403
31469-6895;20130201;SUCESSO;2;;2;2;42;1;;8;;;;;11;;1;;1;1;;5;;4;;1;1;;;;;;;1;2;2;2;;;;;11;1;1;1;1;;;2;;6;;;;;;;;9;2;;;3;1;2;;;4;3;1;;26;6;;;9;1;3;2;;3;3;11;7;5;;;;;;34;;2;5;1;11;;2;4;1;1;;;;;;;;;2;;1;;;;;;2;1;;;;;;;;;;;;2;;;2;;;;;2;;2;8;5;;;;;7;;7;5;;;;320
31476-6401;20130102;insucesso;2;;2;2;71;16;2;25;9;1;1;;11;1;5;;5;;;5;;23;1;9;6;4;2;;;;;8;2;;;;;1;;36;;;;11;3;4;3;;2;;;;5;1;1;;17;3;;2;13;;9;6;;1;;3;1;15;2;;1;9;1;8;6;3;;;7;5;;1;;;;;50;1;6;3;1;19;3;1;12;7;4;3;1;1;1;1;1;1;;5;;5;;4;2;2;1;7;3;2;;5;2;2;2;;2;1;;;2;;;2;11;2;3;3;8;8;2;6;5;;;;;8;1;6;5;;;;626
31476-6895;20130201;insucesso;3;3;;;29;5;2;3;;2;;;3;1;;;;;;1;;12;;1;;;;1;;;;1;1;;;;;;;8;;;;2;;;2;;2;2;2;2;;;;;;;;;;;;;;;;;;4;1;;;;;;;;;;1;;2;;;;;;28;1;2;;;9;1;;3;2;2;2;1;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;3;3;3;;;;;;1;;;1;1;;;;;1;;1;1;;;;165
31488-4917;20120201;insucesso;;;;;12;;;;;;;;1;;1;;;;;;;5;;3;1;1;;1;;;;;;;;;;;;1;;;;1;;1;;;;;;;;;;;2;1;;1;;;;;;;;;;2;;;;2;1;;;;;;;;;;;;;;9;1;;;;5;;;2;1;;;;;;;;;;3;;2;;2;2;2;;7;;;;3;;;2;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;81
31508-4435;20120102;insucesso;1;;;;14;1;;1;;1;;;2;;1;;1;;;;;2;;1;;;;;;;1;;;;;;;;;9;;;;1;;;3;;2;1;1;;;;;;10;;;;3;;1;;;;;1;1;7;;;;6;;3;1;;;;;;1;;;;;;9;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;6;4;;;;;;;;;;;;;;;;;;;102
31510-5489;20120202;SUCESSO;2;2;;;25;1;;2;;;1;;1;;1;1;;;;;;3;;1;1;1;1;2;2;2;;;;;;1;1;;;3;;;;2;;;;;1;2;2;2;;2;;;3;1;;;1;;1;1;;;;;;5;;;;2;1;;;;;;;;1;;1;;;;28;;;1;1;12;;;6;4;4;3;3;;;;;;;4;;4;;3;;;;9;2;1;;6;2;1;3;2;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;187
31520-5489;20120202;SUCESSO;2;2;;;26;2;;1;1;;;;1;;;;;;;;;10;;3;2;1;;1;1;1;;;;;;1;1;;;5;;;;2;;;;;;2;2;2;;;;;1;;;;;;;;;1;;;;4;2;;2;;;;;;;;1;;;;;;;;16;;3;;;5;;;2;1;;;;1;;1;;;;3;;1;;1;1;1;;2;2;;;2;2;;2;2;1;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;135
