IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
36259-5490;20120202;insucesso;2;;1;;;44;6;;;3;2;;;;;3;;1;;;;;1;1;16;;1;3;1;1;1;;1;1;;;;3;1;;1;1;1;;;10;;;;1;;;1;2;1;;;;;2;;2;12;3;;;5;;3;1;;1;;1;;14;1;;;9;2;5;3;;1;;1;;2;;3;;3;2;60;1;;1;;11;;;3;2;2;;;;1;1;5;4;1;;8;5;1;1;1;1;;7;3;2;1;1;1;1;1;1;;;;2;1;;;;;;;;;;6;5;3;1;;;6;2;4;4;1;3;1;353
36259-6590;20130201;insucesso;3;2;1;1;;40;3;;;;5;1;1;;;4;;1;;;;;;;11;;;2;1;1;;;;;;1;;;;;;3;3;;;16;1;1;1;3;1;2;1;1;2;1;1;1;1;4;;3;12;2;;;5;;1;1;;1;1;2;1;16;1;;1;9;;5;1;;1;1;1;1;;;2;;2;1;30;1;1;1;;6;;;5;3;2;1;;;1;1;2;2;;;2;2;2;;;;;2;2;2;;;;;;;;;;3;2;2;1;2;;1;;;;;4;4;;;;;4;;4;4;;;;291
36278-5490;20120202;insucesso;3;1;2;2;;43;;;;;1;;;;;2;;2;;;;;;;14;;;6;4;3;2;2;;;;;;1;;;;;;;;6;2;2;2;;;;;;;;;;;;;;13;1;;1;6;;4;2;;1;;1;;9;3;;2;7;;3;1;;;;;;;;;;;;43;;3;;;15;;;8;4;3;3;3;2;;;;;;;3;2;;1;1;1;;5;1;;4;1;;4;1;3;;;;3;1;1;2;;;;;;;;;;;;;;1;;;;;;;273
36306-5490;20120202;insucesso;2;2;;;;19;1;;1;;3;;1;2;;1;;1;;1;;;;;4;;;1;;;;;;;;;3;;;;;1;1;;;5;;;;;;;1;;1;2;2;2;1;3;;;4;;;;2;;1;1;;1;1;2;;3;;;;2;;2;1;;;;1;1;1;;;;;;14;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;7;1;1;;4;4;1;;;;;;;;;;;;;;125
36328-5061;20120201;insucesso;;;;;;36;2;;;;5;2;;1;;4;1;2;;;;;;;12;;;4;3;2;1;;2;2;1;;;1;;;;1;1;;;15;;;;3;1;2;;5;2;;;;2;6;4;5;8;2;;;;;;;;3;2;;1;10;2;;;7;1;;;;1;;;;;;3;2;;;33;4;4;1;1;14;1;1;6;5;2;;;;3;3;6;5;2;;9;8;1;3;1;;;23;4;2;10;3;2;3;1;2;1;1;;;;;;5;2;;;;;;;;3;2;2;;1;;;;;;;350
36331-4917;20120201;SUCESSO;4;3;1;1;1;90;4;;;1;5;1;;3;1;13;3;7;2;;;;2;;19;1;;3;;;;;2;1;;2;3;5;1;1;;7;7;1;1;15;;;;3;;1;;;;2;2;2;;5;3;1;19;4;;1;3;1;1;;;8;3;1;;33;9;;;15;3;1;;;7;3;1;;2;3;12;;9;4;74;;2;2;1;19;;1;9;4;3;;;;;;2;1;;;5;3;;1;1;1;;12;2;2;5;2;;1;1;1;;;;5;3;3;1;9;1;;;3;1;3;9;8;52;20;12;6;11;2;4;4;2;1;;688
36347-5799;20130101;insucesso;1;1;;;;31;4;2;;1;2;;;;;2;;1;;;;;;;12;;;3;1;;;;2;2;2;;;;;;;;;;;3;;;;;;;;;;1;1;1;;;;;3;;;;;;;;;;;1;;5;;;;1;;;;;;;;;1;2;3;2;;;34;1;;;;7;;;2;;;;;;;;2;2;2;1;6;5;;5;3;2;1;5;3;1;5;3;1;3;2;2;1;3;3;1;1;1;;2;;;;;;;2;2;;;;;3;;2;2;;1;;213
36350-5799;20130101;insucesso;;;;;;31;2;2;;1;2;1;;1;;4;2;2;;;;;;;8;;;4;1;1;1;1;1;1;1;;;1;;;;;;;;4;;;;2;1;1;;;1;;;;1;1;;;2;;;;;;;;;1;;;;6;4;3;3;2;;;;;1;;;;;1;;;;;41;1;1;2;;8;1;1;3;2;1;1;1;1;;;1;1;;;1;1;1;1;;;;1;1;;1;;;;;;;;;;;;;4;;1;;;;;1;1;2;;;;5;;1;1;1;;;192
36352-5489;20120202;insucesso;;;;;;17;1;;;1;;;;;;;;;;;;;;;7;;;2;;;;;1;1;;;;1;;;;;;;;3;;;;;;;1;;2;;;;;;;;1;;;;1;;;;;;;;;3;;;;;;;;;;;1;;2;1;;;;;27;;2;2;;11;1;1;6;4;2;1;;;;;;;;;2;2;;1;;;;4;;;2;;;;;;;;;;;;;1;;;1;;;;;;;;;;2;;;;;;;118
36383-5490;20120202;insucesso;1;1;;;;51;2;;;1;3;;1;3;;;;;;;;;2;2;17;;1;9;4;2;2;1;;;;;;5;1;;;;;;;3;;;;1;1;;1;1;1;1;1;1;;5;4;1;12;2;;;4;;3;2;;4;4;;;11;1;;1;10;1;2;2;;4;4;;;;;6;;6;5;39;1;1;1;;14;;;4;2;2;1;;;1;1;1;1;1;;1;1;;1;1;1;;1;;;1;;;1;;1;;;;1;1;1;;3;1;;2;;;;1;1;28;2;;;5;;1;1;1;;;342
