IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
41365-6401;20130102;insucesso;;;;;24;4;2;3;;1;;5;;3;;2;;;;;9;;;5;3;2;1;3;3;1;;;;;;;;;;;;9;;;;3;;;;;;;;;2;1;;6;;;;;2;;2;;;;;;;;1;1;8;1;;;5;;;2;2;;;;;;;;1;1;1;;;;;20;2;1;1;1;;10;;1;5;;2;1;;;;;3;3;;;1;7;1;1;7;2;3;3;3;2;17;4;2;1;2;2;5;4;2;4;3;;4;2;2;2;4;3;;;;;2;;;1;;;;;1;1;;;;;3;;1;1;;;;272
41365-7297;20130202;SUCESSO;1;1;;;13;1;;1;;;;;;;;;;;;;3;;;;;;1;1;;;;;;1;;;;;;;;4;;;;;;1;;;;;;;;;;4;2;;;1;2;1;;;;;;;;;;;4;;;;4;1;;2;;;;;;;;;;;;;;;;5;;;1;;1;1;;1;1;1;1;1;1;;;;1;;;;;2;;1;1;;1;;;;4;1;1;;;;1;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;1;;;;;;;80
41425-6402;20130102;insucesso;2;1;1;1;29;;;2;;;;5;;1;;;;;;1;13;;;3;;;1;1;1;;;;;;;;;1;1;;;6;;;;;;;;;;;;;1;1;;8;3;;;2;2;;;;;;4;3;;;;;11;;;;8;3;;1;;;;3;2;;;;1;;2;1;;1;1;39;;;;;;14;;;3;;2;2;1;;2;2;5;5;2;2;;10;;1;9;2;4;3;;;21;5;2;1;1;1;8;2;;5;1;;1;;;;3;3;2;1;1;1;2;;;1;;;;;;;;;;;;;;;;1;;299
41520-6401;20130102;insucesso;1;;1;1;15;;;1;;;;;;;;;;;;;4;;;2;;;1;1;1;1;;1;;;;;;;;;;3;1;1;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;16;;1;;;;10;1;;6;;4;;;;1;1;3;3;1;1;;6;;1;6;1;5;3;1;;13;2;2;1;;;7;;;3;;;1;;;;;;1;;;1;1;;;;;;;;;;;;;;1;1;;;;;;145
41556-6400;20130102;SUCESSO;3;1;2;2;25;1;;3;;3;;1;;;;;;;;;7;2;;1;1;1;;2;2;2;2;;;1;1;1;;;;;;12;1;1;1;4;;3;;1;1;1;1;;4;;2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;;;;;;;22;;3;1;;;4;;;2;;1;1;1;;;;;;;;;6;;;5;1;4;4;3;1;5;2;;;1;1;4;2;;4;2;;3;2;1;1;4;4;3;1;1;2;2;2;;;2;;;;1;1;;;;;1;;1;1;;;;212
41593-6400;20130102;insucesso;;;;;12;1;;1;;1;1;3;;2;;1;;;1;;4;;;1;;;;1;1;1;;;1;;;;;;;;;2;;;;1;1;;;;;;;;1;;1;4;1;;;;2;;2;2;;;;;;2;;;5;2;1;1;4;;;2;2;2;;;;1;;;2;1;;2;1;1;;17;;;1;;1;6;;;2;;2;;;;;;;;;;;3;;;3;1;3;2;1;1;3;3;1;1;;;3;3;1;2;2;;1;1;1;1;1;1;;;;;;;;;;2;;1;;;;;;;;;;;;;;149
42004-6402;20130102;SUCESSO;;;;;29;1;;2;;1;;6;1;3;;;;1;;;8;1;;2;1;1;;;;;;3;;1;;;;3;3;;;3;;;;2;;;;;;;;;1;;1;5;1;;;;;;;;;;1;1;1;;;1;19;5;2;;5;1;;;;;;1;1;1;;;3;;1;;;;;42;1;2;4;;;12;;3;6;2;3;2;2;;;;1;1;;;;2;;;2;1;1;;;;2;2;1;;;;1;1;1;;;;;;;;1;;1;;;;5;3;;;;;;;2;1;1;;;;2;;1;1;1;;;237
42237-6402;20130102;SUCESSO;1;1;;;11;1;;1;;;;;;;;;;;;;5;;;3;1;1;1;2;2;2;2;;;;;;;;;;;2;;;;;;;;;1;1;1;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;11;;1;1;;1;5;;1;2;;2;;;;;;1;1;1;;;4;;;4;;2;2;2;;10;2;;;2;2;5;1;;3;;;2;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;113
42250-6402;20130102;SUCESSO;1;;1;1;24;1;;2;;;;2;;2;1;1;1;;;;13;;;2;;;;1;1;1;;;;;;;;;;;;6;;;;2;;1;;1;;;;;;;;2;2;1;1;1;1;1;1;1;;;;;;;;;3;1;;;2;2;1;1;1;1;;;;1;;;;;;;;;;24;;;;;;2;;;;;;;;;;;1;;;;;2;;;1;;1;1;1;;1;1;1;;;;1;1;1;1;1;1;1;1;;;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;1;;138
42261-6402;20130102;insucesso;;;;;47;;;;;;;15;;9;;5;;;2;;9;;;3;1;1;;1;1;1;;;1;2;1;;;2;2;2;2;1;;;;;;;;;;;;;;;;16;4;2;;3;8;;4;1;;;2;1;;;;;26;2;;;15;2;;8;4;1;;;;3;2;;2;;1;;;;;33;1;;3;;;9;;1;3;;1;1;;;1;1;2;1;;;;7;1;2;4;1;2;1;1;1;9;2;;;1;1;3;;;1;;;1;;1;1;;;;;;;1;;;;;2;;2;3;3;21;10;5;3;6;;3;3;2;;;376
42304-6402;20130102;insucesso;;;;;3;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;3;;;1;;1;;;;;;;;;;;1;;;1;;1;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25
42411-7297;20130202;SUCESSO;1;;1;1;14;4;1;2;;;;2;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;;2;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;42
43058-6400;20130102;SUCESSO;1;1;;;128;3;2;3;;;;46;3;30;5;12;7;1;4;1;30;3;2;7;2;;2;3;2;2;2;;;3;;;;4;4;12;12;6;;;;1;;;;2;;;;;;;;68;16;12;6;1;20;3;12;6;4;;2;2;;;;2;75;8;4;1;47;9;8;16;10;6;4;1;1;8;3;;8;;2;1;;;;95;2;3;9;;4;34;;4;11;2;5;4;1;;4;3;7;6;5;;;17;;;15;4;9;2;2;;20;7;3;;2;2;9;3;2;2;;;2;;;;3;3;1;1;1;;7;2;;;1;1;1;1;2;2;18;3;;;12;4;2;2;1;4;3;1087
4339-4435;20120102;insucesso;;;;;30;;;2;1;;;2;;1;;;;;;;16;;1;4;;;2;1;1;;;;;;;;;;;;;8;;;;1;;3;;1;;;;;;;;9;;;;;1;;1;1;;;;;;;;;8;2;;2;5;;;1;1;1;;;;;;;;;;;;;;28;;1;4;1;3;6;1;1;;;;;;;;;2;2;1;1;;8;;;8;1;1;1;;;14;1;1;1;;;1;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;197
43464-6400;20130102;SUCESSO;1;;1;1;92;6;2;1;;;;11;;4;1;;;;;1;14;;1;8;3;2;;;;;;1;2;4;3;3;;;;;;8;1;1;1;1;;1;;3;;;;1;2;;1;19;3;1;1;1;4;1;3;3;2;1;;;;;2;1;21;;;;10;1;1;;;;;;;;;;7;;;1;;;;57;1;1;5;;3;20;;2;5;;2;;;;;;;;;;;6;;;4;1;2;1;1;1;9;3;2;;;;2;1;1;1;1;1;1;1;1;1;2;2;1;;;1;5;1;1;1;1;2;1;;5;5;;;;;8;1;5;5;;2;1;452
43978-6401;20130102;insucesso;;;;;11;;;2;;;;1;;;;;;;;;2;;1;1;;;;;;;;;;2;;;;;;;;3;;;;;;;;1;;;;1;;;;7;1;;;;2;;1;1;;;;;;;;;7;;;;3;;;1;;;;;;;;;;;2;;;;;11;;;4;;2;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;1;1;;;;;;;;;;;5;;;;;;;83
43981-6401;20130102;SUCESSO;1;;1;1;35;;;4;;;;7;1;;;;;;;;13;1;1;5;2;;;4;3;2;1;;1;;;;;;;;;9;1;1;1;1;;1;;;;;;9;;;;3;2;1;;1;1;1;;;;;;;;;1;;13;1;;1;1;;;;;;;;;1;;;1;;8;;;;;35;1;3;2;;;11;;1;5;;;;;;2;2;2;2;1;;;13;;1;12;3;7;4;4;3;29;9;6;;3;2;10;5;3;6;3;2;5;3;4;2;;;1;;;1;10;;9;;;1;1;;;;;;;;5;1;;;;;;377
44027-6402;20130102;insucesso;1;1;;;20;;;1;;;;4;;3;;3;;;;;2;;;;;;;3;2;1;;;;;;;;;;;;3;;;;;;;;1;1;1;1;;;;;12;1;1;;;9;;5;4;;;2;1;;1;4;3;13;1;1;;9;;;7;4;3;;2;1;;;;1;;;1;;;;36;;;2;;2;8;;1;1;;;;;;1;1;3;3;;;;11;;2;9;1;3;;;;29;3;;;2;1;7;2;;2;2;;2;2;1;;1;;1;1;1;;3;;;1;;;;;;;4;;;;5;;;;;;;288
44033-6402;20130102;insucesso;2;1;2;1;29;2;;;;;;6;;2;1;;;;;;11;;2;5;2;1;;;;;;;;6;;;;1;1;;;5;;;;;;;;;1;1;1;4;;;;7;4;;;;;;;;;;;;;;;;9;2;;1;4;2;;;;;;;;;;;;;5;;;;;29;1;;2;1;1;10;;;3;;1;1;;;1;;1;;;;1;3;1;;1;;1;1;;;2;2;1;1;;;1;1;;1;1;;;;;;;;2;1;1;1;5;1;4;;;1;1;;1;1;30;3;;;6;;1;1;1;2;1;254
44058-7297;20130202;SUCESSO;1;;1;;34;;;;;;;4;;1;;;;;1;1;11;;;3;2;;;;;;;;;1;1;1;;2;2;;;1;1;1;;;;;;;;;;6;1;;1;5;;;;;;;;;;;1;;;;1;;16;1;;1;5;;;;;;;1;;1;;;;;6;2;;2;1;46;;1;2;;;16;;1;9;1;4;3;2;;;;;;;;;4;;2;2;;1;;;;6;1;;;;;1;;;;;;;;;;1;;1;;;;6;1;6;;;;;;3;3;;;;;3;;3;3;;;;252
44060-6402;20130102;insucesso;1;;;;30;;;2;;1;1;6;;;;;;;4;;8;;1;3;;;;;;;;;;3;;;;;;1;1;6;;;;1;1;2;;1;1;1;;11;1;;1;13;;;;;3;;;;;;1;;;1;;2;19;1;;;3;;;;;;;1;;4;;;2;1;10;1;;;;55;;;4;;2;25;;2;8;;3;1;1;;1;;2;;;;3;5;;1;2;;2;2;2;2;2;1;1;1;;;2;1;1;2;1;;2;1;2;2;2;;1;1;;;12;;11;;3;2;1;1;;;8;1;;;7;1;;;1;2;1;347
44065-6402;20130102;SUCESSO;2;1;1;1;60;1;;2;;;;20;1;12;3;3;1;2;;;24;1;5;7;6;2;3;2;2;1;1;;;2;2;2;;2;2;2;2;5;;;;2;;;;1;1;1;1;1;;;;35;17;4;2;7;7;6;3;1;1;;3;3;;;;2;42;3;;1;29;9;2;6;3;1;1;3;3;3;2;;3;;3;7;;5;4;52;;2;7;;5;13;;3;8;3;2;;;;;;3;3;;;;7;;;7;4;2;2;2;1;7;5;4;;1;1;2;1;1;2;1;1;2;1;1;1;1;1;2;1;1;1;6;;1;3;1;;;;6;6;;;;;6;;6;6;;2;1;619
44090-6402;20130102;insucesso;1;1;;;66;6;3;2;;;;27;1;19;2;5;;1;;2;19;;;10;5;3;;1;;;;;;4;1;;;2;2;3;3;4;;;;3;1;;1;;1;1;1;;1;;1;27;5;1;;1;11;;2;2;;;3;2;;6;1;;41;7;2;2;24;2;;8;2;2;;2;2;2;;1;;;1;9;;8;4;40;1;;1;1;;23;;;12;;6;1;1;1;4;4;4;4;4;;3;9;1;1;7;;7;1;1;;8;3;2;;;;8;3;2;1;1;;1;1;;;2;2;1;1;1;;2;;;1;;;;;1;1;30;16;8;6;5;;1;1;;1;1;631
44109-6402;20130102;insucesso;;;;;18;1;1;;;;;3;1;1;;;;1;;;12;;;1;;;;;;;;;;;;;3;1;1;;;;;;;;;;;;;;;;;;;3;;;;;1;;;;;;1;;;1;;;8;4;;2;3;;;1;;;;1;;1;1;1;;;;1;;1;1;18;;;3;1;;5;;1;;;;;;;;;1;1;;;;2;;;2;2;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;4;1;;;;4;4;132
44112-7114;20130202;insucesso;1;1;1;1;33;3;2;4;2;1;;2;1;;;;;;;;9;;;1;;;;;;;;2;;5;5;;;;;;;8;1;1;1;5;1;3;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;3;2;1;1;;;;;;;;;;1;;;1;;;1;1;;;16;1;;;;;2;;;;;;;;;;;;;;;;1;;;1;;1;;;;1;1;;;;;1;1;;;;;;;;;;;1;1;1;1;3;1;1;;;;;;7;6;2;;;;7;1;6;5;;;;179
44113-6402;20130102;insucesso;;;;;3;;;;;;;2;;1;1;;;;;;1;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;3;1;;;1;1;;;;;;1;;;;;;3;1;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;;29
44118-6402;20130102;insucesso;1;;1;;7;;;1;;;;1;;;;;;;1;;2;;;1;;;;;;;;;;;;;;;;;;4;;;;1;;1;;1;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;1;1;;;;;;;;;6;;4;;;;3;2;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;47
44127-6402;20130102;insucesso;;;;;18;2;1;;;2;1;3;;3;;;;;;;7;;;3;1;;;2;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;2;;1;6;3;1;;2;3;;2;;;;;;;;2;1;7;2;1;1;5;;;2;1;;;;;;;;1;1;1;;;;;25;;;1;1;;11;;;3;;1;;;;1;1;2;2;2;1;;8;2;1;5;1;3;1;1;1;24;5;2;1;;;9;3;2;5;2;;5;2;4;2;;;;;;;3;;;;1;1;;;;;;;;;1;1;;;;;;238
44176-7114;20130202;insucesso;1;;1;1;23;1;;;;;;3;;1;;;;;1;;11;;;3;1;;1;2;1;1;;;;;;;;;;;;4;1;1;1;2;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;6;;;;1;;;;;;;;;2;;;2;;;;;;;33;;2;2;;;12;2;1;7;;2;1;1;1;1;;2;1;1;1;;13;;2;9;;5;2;1;1;14;5;3;1;1;;9;5;3;3;1;;1;1;1;;1;1;1;;;1;;;;;;;;;1;1;6;1;;;2;;1;1;1;;;243
44195-6402;20130102;SUCESSO;1;;1;1;13;1;;1;;;;1;;1;;;;1;;;6;;;1;1;;;;;;;;1;;;;;;;;;1;1;1;1;;;;;;;;;;1;;;5;;;;;2;;2;1;1;;1;;;;;1;3;;;;3;;;1;1;1;1;1;;;;;;;;;;;;10;1;;;;;2;;;1;;;;;;1;1;1;1;1;;;3;;;2;;2;;;;3;1;1;;;;2;1;1;;;;;;;;2;1;1;;;1;5;;;;2;1;1;;2;1;;;;;3;;1;1;;;;116
44196-6400;20130102;insucesso;2;1;1;1;19;2;2;4;;;;4;1;1;;;;;;1;8;;1;2;;;;1;1;1;;;1;2;;;;;;;;7;1;1;1;1;;;4;;1;1;1;1;5;5;;4;1;1;;;;;;;;;;;;1;;;9;2;1;;3;;;;;;;;;;;3;;;1;4;1;1;;18;;2;2;1;;4;;;;;;;;;;;;;;;;1;;;1;1;1;;;;3;2;;;1;1;3;1;;1;1;;;;;;;;2;1;1;1;2;;1;;;2;;;;;4;;;;3;;;;;;;178
44258-7297;20130202;SUCESSO;1;;1;1;11;2;;1;;;;1;1;;;;;;;;6;1;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;1;1;1;1;;;;;;;;;;;;;;;;;;;6;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;1;1;;;;;1;;1;1;;;;53
44332-6401;20130102;insucesso;1;1;;;58;5;;12;2;1;;5;;3;;;;3;;1;13;;1;3;;;;2;2;;;1;1;2;;;;;;;;20;;;;3;1;;2;1;1;1;1;2;7;5;1;13;2;;;;;;;;;;9;4;;;;;16;1;;;11;2;;;;;;8;3;;;9;;;2;10;7;7;4;25;2;2;3;;3;7;;1;1;;1;1;;;;;1;;;;;7;;;6;2;2;;;;8;2;1;;;;3;;;;;;;;;;3;3;1;1;1;;6;2;2;;;5;2;;;;;;;;5;1;;;;;;380
44389-6402;20130102;insucesso;;;;;32;4;1;1;;5;5;5;;3;;;;1;1;8;7;;;1;1;;;1;1;1;;;;;;;1;2;1;1;1;8;;;;;;;1;3;;;;;5;1;5;13;2;;;;4;;2;1;;;4;3;;1;1;1;19;3;;;10;1;;2;;;;2;2;4;2;;;;;11;;9;2;21;;;;;;8;;;5;;3;1;;;;;;;;;2;3;1;;2;;1;1;;;2;1;;;;;1;1;;1;1;;;;;;1;;1;;;;1;;;;;;;;;;;;;;1;;;;;2;;267
44530-6402;20130102;insucesso;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9
44845-7114;20130202;insucesso;;;;;15;;;;;;;5;3;;;;;;1;;4;;1;2;1;;;;;;;;;;;;;1;1;;;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;9;6;;2;2;;;;;;;1;;1;;;;;1;;;;;9;;;1;1;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;;;;;1;;1;1;;;;81
44965-7297;20130202;SUCESSO;;;;;24;;;5;1;;;8;1;4;1;1;;1;;;10;1;;1;1;;;;;;;;;1;;;;2;2;1;1;6;;;;1;;2;;2;;;;;1;;;9;2;;;;2;;;;;;2;1;;;;;14;3;;2;8;2;;2;;;;1;1;;;;1;;1;;;;;21;2;3;1;;;3;;;1;;;;;;1;;4;1;;;;4;;2;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;2;1;2;;;;3;;2;1;1;;;191
Total Geral;#N/D;#N/D;456;192;261;230;12444;735;178;1180;201;262;80;1933;184;1071;173;281;92;151;156;159;3321;67;139;1070;421;205;138;487;394;200;74;168;214;481;150;81;67;368;345;233;226;2650;173;173;152;588;80;224;67;229;147;147;136;212;472;79;226;3516;682;165;75;152;1096;96;543;305;125;75;547;325;72;58;183;214;4491;673;138;178;2517;389;67;755;375;211;77;381;235;391;175;67;335;60;253;430;73;265;161;9351;224;326;655;58;276;2866;70;300;1126;73;525;287;186;66;237;161;568;391;193;58;84;1947;76;149;1497;172;771;441;300;162;3140;660;282;59;172;145;1257;416;176;645;269;68;416;186;224;136;251;166;466;216;192;231;1196;239;192;138;173;393;207;175;500;406;1875;614;278;146;1174;147;393;347;188;227;154;98480
