aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>2>31>;2>3>;2>14>;2>14>2>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;3>2>;3>14>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>38>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;30>2>;30>14>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;34>36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;
31535-4605;2;14;;;5;4;;51;1;;;9;12;1;3;2;13;10;;25;2;;;1;1;;1;;;1;;;2;;1;;;;;;;1;1;;;;1;;;2;6;;1;;;;;2;;;1;7;3;4;;;;;1;9;;1;1;;;1;;;;;1;;;;;;;;;;;;;;;;4;6;1;;;;;;;;;;;;;;;1;1;5;2;;;;1;1;2;1;;;2;1;1;;2;;;1;;;1;1;;;;;;;;;
27383-7098;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32011-5468;2;16;13;1;;1;1;27;1;;;7;11;10;1;;;2;6;10;2;;;1;1;1;2;1;1;;;2;3;;;;;;;;;1;1;12;1;1;;1;1;;;;;;;9;8;;;;2;;;;;;8;6;;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;2;7;1;;;;;;;;;;;1;;8;5;;;;;;;;;;1;;;;;1;1;;2;;1;2;1;1;1;1;1;;;;;;;;
36483-5468;1;14;;;;;;65;2;12;;36;34;;3;2;6;8;;15;4;4;3;;1;1;1;1;1;2;1;;4;;;7;7;7;;;;;;;;;;;;;10;1;3;4;;;;;;;9;18;;13;12;6;;;4;10;1;2;5;3;2;2;;9;6;;17;1;8;8;27;8;17;5;2;2;1;1;1;2;;2;2;27;1;25;15;4;2;;;;;2;;1;;;;2;;;;;;;2;2;3;;1;2;;4;3;;8;1;2;5;2;1;;;1;;;1;1;2;2;2;
18571-4604;;2;1;;;;;3;;;;1;2;1;;;;;1;2;;1;;;;;;;;1;;1;1;;;;;;;;;;;1;;;;;;;1;;1;;;1;1;;;;;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;1;;;;;;1;1;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33590-4604;;;;;;1;;3;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32022-5468;2;12;;;;1;;28;;6;;22;17;;3;1;5;4;;15;2;3;2;2;1;1;1;;;3;2;;2;1;;3;2;;1;2;;2;1;;;;;;;;9;2;1;1;2;;;1;;;;9;;5;1;1;;;;3;;;1;1;2;;;6;;;1;;;;5;;2;1;1;1;1;4;4;;;;;13;1;3;1;1;1;;;;;1;1;2;;;;;1;2;1;;;;1;;;2;2;1;;2;1;1;5;1;2;4;3;;1;1;1;;;;;2;2;2;
29800-4130;1;11;;;3;1;;14;1;;;6;8;;1;1;1;4;;6;1;;;1;1;;1;1;;2;;;;;;1;1;1;2;2;2;;;;;;2;;;;7;2;;1;1;;;;;;;5;;3;1;1;;;;1;;;;;;1;;;;;;;;;4;;2;1;1;;;;;;;;1;5;;3;1;1;1;;;;;;;;;;;;1;1;;;;;;1;1;;1;1;1;;;;3;;;;;;1;1;;;;;;;;;
31693-7274;2;9;;;;;;25;1;6;;18;17;;;;;;;5;2;4;;;2;2;2;2;2;;;;2;;;2;2;;;1;1;;;;;;;;;;7;;1;1;1;;;;;;1;7;4;4;1;1;;;;1;;;;;;1;;6;1;;4;;;;5;2;1;1;1;1;;1;1;;3;;4;11;1;2;1;1;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;2;3;;;;;;;
13342-4130;3;16;2;;;1;;27;1;2;;5;7;;4;5;15;7;;15;3;1;;2;;;;;;;;1;6;;3;1;;;;;;2;2;2;;;;;;;7;;2;;;;;1;;;1;1;;;;;;;4;8;2;1;3;1;;1;1;2;1;;3;1;1;1;2;2;;;;;;2;2;;;;;3;;2;;;;2;2;;;;;;;;;2;5;12;7;5;5;5;2;2;4;1;;2;3;1;1;;3;1;;1;;;3;2;;1;;;;;;;
18900-7118;;15;;;2;5;;22;3;3;;16;18;;;;;2;;29;;10;;;;;;;;3;3;;;;;5;1;1;;3;2;;;;;;;;;1;3;;;1;1;;;2;;;;3;;2;1;;;;;;;;;;;3;;3;;;;;;;7;;4;4;4;3;;;;1;2;5;;4;;2;;;;;;;;2;;2;1;;;;;;;;;;;;;;2;4;;2;;1;10;;1;6;4;3;;;;1;;;3;;;;
23725-4605;2;17;;4;2;7;;57;1;1;3;12;17;;3;2;6;16;;30;3;6;5;1;2;1;1;1;;1;;;2;;;;;;1;3;1;;;;;3;;4;3;;7;;1;;2;;;6;3;2;4;10;;7;5;4;;;11;10;2;;6;5;3;1;;;;1;1;;1;;5;;4;1;;;1;2;;1;1;;2;10;;5;4;1;;1;;;;1;1;1;3;;;2;1;4;3;2;1;;2;2;3;2;2;6;3;1;;;12;3;1;8;4;3;1;1;1;;3;1;;2;4;2;
31300-4130;2;13;;;3;5;;29;1;;;11;14;;1;1;7;8;;19;2;1;;2;1;;1;1;;2;1;;1;;1;1;1;1;1;2;;1;1;;;;;;;;3;;;;1;;;2;;;;2;;2;;;;;;8;2;;4;3;;1;;;;2;;;;;5;;3;1;;;;;;2;;1;1;10;;4;2;1;;;;2;;1;1;;;;;;1;2;1;1;1;1;2;;1;2;2;5;;2;2;2;7;2;1;4;4;3;2;2;;;;;;;;;
22614-4604;3;13;1;;;4;1;34;1;3;;5;7;2;1;1;3;2;;22;3;3;1;2;1;1;1;1;1;1;;1;4;;1;1;;;;;;2;1;1;;;;;;;8;1;2;1;;;;2;;;2;3;;1;;;;;1;13;;1;5;1;;1;1;3;1;;2;;1;1;3;;;;;;;;;;1;1;;3;1;1;;;;;;;;;;;1;1;1;;;3;3;2;2;2;1;;1;;;;;1;;;5;;;1;;;1;;1;;;;;;;;
31218-4604;1;13;4;;2;4;1;43;1;;3;14;13;1;;;;1;;41;1;19;1;;1;1;1;1;1;2;;;1;;;;;;;2;;;;;1;;;;;;3;;;;;4;;;;;2;1;;;;;;;;10;2;1;3;;;1;;;;;;;;;8;;3;3;1;;;1;;1;3;;;5;;2;1;1;1;;;;;;;;7;1;;;;;;;;;;1;;;;2;3;1;;1;10;;;1;;;;;1;2;3;5;7;1;;;
35892-5469;;10;2;3;;4;;38;1;;2;10;15;5;1;1;8;5;;24;;10;2;;;;;;;2;;1;4;;2;1;1;1;2;1;;;;2;;3;;3;3;;5;1;1;;;;;2;1;1;;4;1;2;2;2;4;3;1;8;;1;1;1;1;1;;;;1;2;1;;;5;1;3;2;2;1;;;;1;1;;2;7;1;4;3;2;2;;;;;1;;;2;4;2;;;;;;;;;;1;2;;;3;2;;;7;;1;2;1;;;;;1;;1;3;1;2;1;
23953-5468;2;13;22;;3;2;;65;1;1;;11;12;10;1;1;8;6;4;29;2;3;2;1;1;1;1;1;1;2;;2;1;;;1;;;;3;;1;;7;2;;1;;;1;3;;;;1;14;3;;;;4;1;;;;;5;3;5;7;;;2;;2;1;1;1;;;1;;;;4;;3;2;;;;1;;;;;2;4;;2;2;2;;;;;;1;1;;1;5;1;;1;4;1;1;1;1;;2;1;2;;1;;;;2;7;;;4;1;1;1;1;1;;;1;;1;2;1;
27383-5468;2;10;;;;;;7;1;;;2;3;1;;;;;;1;2;;;1;1;1;1;;;2;;;2;;;1;1;;;;;1;;;;;;;;;5;1;1;1;;;;;;;1;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
31850-4605;;6;3;;;;;11;;;;2;4;;1;;;2;1;19;;;1;;;;;;;1;;;;;;1;1;;;1;;;;3;;;;;;;;;;;;3;2;;;;;1;;1;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;1;;;;2;;;;;;;;;;;;;1;;1;;;1;;;1;;;1;;;;;;;;;;;1;;
30811-4605;1;18;;;;4;;34;1;;;10;10;;1;1;6;11;;35;1;;;;;;;;;3;;;;;;2;1;;3;5;2;;;;;;;;;;5;;;1;1;;;2;;;5;2;;2;;;;;5;9;1;;2;;;1;1;;;;;;;;3;;;;;;;;;;;;;5;;1;;;;;;;;;;3;;;;1;1;1;1;1;;;1;;1;;6;3;2;1;;1;11;1;;3;;;1;;;;;;;;;;
36152-7098;;2;;2;;2;;12;;1;;4;4;;1;1;6;4;;15;;;;;;;;;;1;;;;;;;;;;;;;;;;2;;2;2;;2;1;;;;;;1;1;1;3;3;;2;;;;;;3;;;1;;;;;1;;;;;;;2;;1;1;1;1;;;;1;;;;3;;1;1;1;1;;;1;;;;;;;;;1;1;;;;;;1;1;1;;;;;;;4;;;;;;;;;;;;;;;;
23038-7274;4;12;;;;;;25;1;1;;6;9;;1;1;4;5;;11;4;4;3;1;4;4;2;1;;4;;;2;1;;3;3;;;1;1;2;1;;;;;;;;8;3;1;2;;;;;;;1;4;1;1;;;;;3;3;1;;;;1;1;1;1;;1;1;;;;;;;;;;;1;1;2;2;1;1;5;1;;;;;1;1;2;2;1;;;;;;1;1;;;;;;1;1;1;;1;1;;2;1;;4;;;1;1;;1;1;4;3;;;;2;2;1;
36051-5469;1;14;;3;2;4;1;51;1;;;6;13;;2;1;6;3;;34;1;4;;;1;;1;1;;1;1;;1;;;1;;;;4;2;;;;;2;2;3;2;1;8;;1;;3;;;;;;2;6;;1;1;;;;2;16;1;1;2;;;1;;;;1;2;2;;;3;1;1;1;1;1;;;;1;1;;;5;;3;1;1;1;;;1;;;;3;1;;;;;6;4;2;2;2;1;;1;;;4;1;4;3;;5;2;1;;;;;;;1;;;1;;;;
18208-7098;;3;;;;;;22;2;2;1;8;11;1;1;1;5;8;;2;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;3;;;;;;;;;;1;7;1;3;2;;1;;6;1;;;;;;2;1;2;;;2;;;;3;2;;;;;;2;;;;;2;4;;2;;;;;;;;1;;;1;;;1;;3;;;;;1;1;;2;;;;;;;;;;;;;;;;;1;;;;;;
3345-4130;;5;;;;1;;22;;1;;6;8;;1;1;3;4;;20;;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;2;1;1;;;;;1;;;1;4;1;3;;;;;1;8;;;1;;;;;1;;;1;;1;1;1;1;1;;;;1;2;2;;;;1;6;;1;1;;;1;1;;;;;;;;;1;1;1;1;1;;;1;2;;;;;2;;;;5;;;;;;;;;;;;;;;;
28212-4605;4;21;2;;;4;;47;1;;;16;17;1;4;4;24;18;1;41;4;3;3;4;;;1;;;6;;1;5;2;1;2;1;1;2;5;2;3;2;1;1;;;;;;12;4;;1;3;;;1;;;3;7;;2;;;;;6;18;2;2;5;3;1;1;;;;;;;;;9;;6;3;2;1;;1;;1;;;1;8;;4;2;;;1;;1;;3;2;4;1;;;2;3;12;9;6;5;3;4;6;3;5;5;5;4;2;;5;16;1;;9;4;2;3;3;1;;;1;;1;3;1;
13298-7098;;;;;;;;9;;;;;2;;;;;;;10;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;1;1;;;;;;;;;;;;
36382-5469;;1;;;;;;4;;;;1;1;;;;;;;7;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;;;1;;;;;;;;;;;1;;;;;
31927-7118;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31870-4604;1;42;23;3;22;9;3;133;5;10;;64;55;23;2;2;14;24;7;29;1;15;21;;1;;1;1;;9;1;5;2;1;;2;2;1;2;8;1;;;17;;2;9;2;1;1;12;3;;;1;11;7;4;;;4;14;;9;5;2;14;9;10;7;2;1;1;;9;5;5;10;2;2;10;1;1;1;16;1;9;3;2;;;4;4;1;1;3;;33;1;14;8;3;2;4;4;;;3;2;1;1;15;7;;;5;3;3;2;2;1;;2;2;3;3;1;2;1;3;2;;;1;1;;;;;;;1;1;7;1;;
32081-4605;3;40;;;;1;;64;2;1;;28;40;;5;2;19;26;;34;4;2;;2;;;;;;12;4;;7;3;1;12;8;3;2;11;3;2;2;;;;;;;;24;6;;5;5;;;;;;6;18;;10;5;2;;;11;6;2;1;1;;;2;1;1;1;1;7;;;;14;1;6;6;3;2;2;3;2;2;1;3;5;24;4;11;4;4;2;;;1;;3;1;6;;;;1;1;7;4;2;;;3;3;5;8;5;5;4;6;2;1;13;1;2;5;3;;3;1;;1;;;;;;;
31299-4605;1;20;2;9;;9;;40;1;1;;17;16;1;;;;6;1;34;1;4;2;1;;;;;;3;;1;;;;2;1;1;;4;;;;1;;5;;7;5;;4;1;;1;;1;;2;2;2;;;;;;;;;;1;;;;;1;1;1;1;;3;1;;;;5;;;;;;;;;1;;;;11;1;4;;;;;;;;2;2;2;;;;;;;;;;;;1;;;1;2;1;3;;1;5;;1;2;;;1;1;;;;1;;1;2;1;
36318-7098;1;12;1;;4;2;;82;1;9;;40;36;;2;1;10;10;;33;4;9;;;1;1;1;1;1;;;1;3;1;1;1;;;;;;;;;1;;2;;;2;9;;2;1;;;;1;;;;26;;15;5;3;;;4;14;;1;;;;1;;8;3;;5;2;4;4;12;;3;2;;;;2;1;3;3;1;;20;2;7;3;2;;2;1;2;;2;;3;3;;;1;1;3;;;;;1;3;2;2;2;;;3;3;1;5;;1;2;1;;;;1;2;;2;1;;;;
18700-5469;2;16;;;;;;34;1;;;8;15;;1;1;2;4;;7;2;1;;2;;;;;;1;;;;;;6;3;;1;;;1;1;;;;;;;;9;;;5;;;;;;;;5;;1;;;;;;2;;;1;;;1;1;;;;;;;;1;;;;;;;;;2;;4;1;7;;1;;;;;;2;;1;;1;1;;;;1;1;1;1;1;1;;;1;;;;;1;1;;1;;;;;;2;2;;;;1;;;;;
37575-5388;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31545-5388;1;14;1;;11;4;;25;1;2;;11;17;;2;2;5;3;;15;1;;;1;;;;;;2;1;1;3;;1;3;1;;;2;1;1;1;1;;;5;;;2;8;;2;2;;;;1;;;;5;;3;2;1;;;1;5;1;;1;1;;1;1;2;;;3;1;;;4;1;3;3;1;1;;2;1;;;2;1;9;2;4;3;3;1;;;;;;;1;;;;1;2;1;1;1;;;1;;1;;;3;;1;;;4;2;;2;1;;1;1;;;;;;;;;
36217-5468;;6;;;;3;;23;;;;7;10;;;;;;;5;;1;1;;;;;;;;;;5;1;1;;;;;;;;;;;;;;;;4;;3;;;;;3;;;2;5;3;3;;;;;;4;;1;3;2;1;;;;;;3;1;;;1;1;1;;;;;2;;;;;5;5;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;3;2;;3;2;1;2;;;;;;;;;;1;;;
18201-4605;1;8;13;1;2;6;8;28;1;;;9;14;11;;;;1;3;1;2;4;1;;1;1;1;1;1;;;2;4;1;;;;;;;;;;4;7;1;;1;1;2;3;;2;;;10;2;;;;3;2;2;;;;6;6;;;;;;;1;;;;;;1;;;;4;;1;1;1;1;;;;;3;;6;8;1;3;1;1;1;;;;2;;;;1;8;5;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1;;1;;;1;;
31405-7118;;8;;4;;3;;44;1;8;1;35;30;;2;1;5;3;;33;2;5;;;;;;;;;;;3;;1;1;;;;5;1;;;;;3;;3;3;;5;;1;1;3;;;1;1;1;;20;2;14;3;;;;1;12;;1;3;1;;1;1;8;2;;10;2;4;4;6;3;1;;;;2;3;2;3;3;;2;25;4;5;;;;1;;2;3;2;2;4;1;;;1;1;3;2;;;;1;1;1;;;2;1;4;3;;9;1;2;2;;;;;;2;1;;1;;;;
36365-7098;;18;;;40;9;;76;2;16;1;66;54;;;;;5;;20;;5;1;;;;;;;2;2;;3;1;1;3;3;1;1;;;;;;;;16;;;5;7;2;1;;;;;3;;;7;28;1;21;3;1;;;4;4;;;;;;2;1;16;2;4;6;;;;21;2;5;3;2;;6;7;6;;;3;3;44;;13;5;3;2;1;1;;;2;2;1;2;;;;;;;;;;;3;;;;;1;1;;;2;;;;;;;;;1;1;2;2;1;;;
28170-5468;5;31;9;;;2;;33;;2;;11;10;1;2;1;9;7;1;16;3;3;;3;1;1;3;1;1;1;1;6;3;1;;3;2;1;1;4;;;;8;1;;;;;;15;1;;1;2;;;1;;;2;4;;2;1;;;;3;8;3;1;1;;;;;2;;1;3;1;1;1;7;2;4;2;1;;;;;;1;1;;7;1;5;3;2;1;;;;;;;1;;;;;1;4;2;2;2;1;;2;2;2;1;5;2;1;1;2;2;;;;;;1;1;2;1;;;;;;;
31419-4605;;2;;;1;2;;7;;;1;1;2;;;;;;;3;;2;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;1;1;;;;;;;1;;;1;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;1;;1;1;1;1;
27794-4604;1;14;10;2;;2;;19;;;1;12;14;;2;1;4;10;2;23;1;5;;1;1;1;1;1;1;1;1;3;3;1;;3;2;1;1;1;;1;;5;3;1;;2;1;;2;;;1;;6;3;;;;1;1;1;;;;;;3;5;;;2;1;;;;;;1;;;;;8;;3;1;;;;2;1;2;2;;2;10;;6;2;;;2;1;1;;;;2;;;;;1;2;1;1;1;1;;4;1;1;2;2;;;;3;9;;;6;2;;;;1;;1;1;4;;;;
30749-4130;;8;4;1;;2;;45;2;1;;29;30;1;;;;7;;53;;7;3;;;;;;;2;;1;;;;;;;;;;;;1;;1;;1;1;;3;;;;;2;;1;;;;8;;6;4;1;1;;1;9;;3;3;;;2;;1;;;1;1;;;21;1;13;9;6;2;3;3;1;6;2;;2;22;;16;11;7;4;1;;2;;1;;2;1;;;;;;;;;;;3;;;2;1;1;4;4;2;14;;;7;5;3;;;;1;;;1;2;2;2;
36309-5469;;4;;;1;4;;16;1;1;;5;10;;;;;;;9;;;;;;;;;;1;1;;1;;1;1;1;;;1;1;;;;;;;;;;3;1;1;;;;;2;;;1;4;;2;1;1;;;;3;;2;1;;;1;;1;;1;1;;1;1;2;1;1;1;1;1;;1;1;1;;;2;4;;2;1;1;1;1;1;1;;;;2;;;;;;;;;;;;;;;;1;;2;;;2;1;;;;;;;;;;;;;;;
30609-7274;;4;;;;;;27;1;;1;2;5;;2;1;4;6;;17;;1;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;2;;2;;;;;;;;;1;;;;;;;3;10;;;3;2;;1;;;;;;;;;1;;;;;;;;;1;;;;1;;1;;;;;;;;;;;1;;;;1;3;1;;;;;2;2;1;1;;;;;1;3;;;2;;;;;;;1;;;;;;
35867-5468;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17356-5388;2;14;2;;;1;;51;;16;;43;33;;;;;2;;19;5;2;;;2;1;2;1;;2;;1;1;;;1;1;;1;1;;1;;1;1;;;;;;7;2;;;1;;;1;;;3;23;;19;1;;;;;8;1;2;2;;;;;16;6;;10;1;2;2;1;1;;;;;;2;1;2;;1;;26;4;1;;;;2;1;1;;1;1;2;;;;;;;;;;;;;;;;1;1;2;1;1;5;;;1;;;;;1;;;;;;;;
27473-5469;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32932-4604;2;16;9;3;18;9;2;43;;2;3;16;8;3;2;1;7;10;;18;2;6;1;2;1;1;;;;3;;;3;2;;1;;;4;1;1;2;2;3;1;;7;3;;3;7;1;;1;;9;3;3;1;;1;3;1;3;;;3;3;1;3;;;1;1;1;;;2;1;;2;;;;3;;1;;;;1;2;2;1;;;2;7;1;1;1;;;1;1;;;1;1;1;;3;2;;;3;3;3;2;1;1;2;2;4;;1;1;;;;10;1;;2;;;2;1;1;1;3;;;1;1;1;
36051-7118;;7;;2;;2;;18;1;;;7;6;;1;1;3;4;;12;;1;;;;;;;;;;;;;;1;1;1;;2;;;;;;2;;2;2;;3;;;1;1;;;2;2;2;1;2;;1;;;;;3;3;;;1;;;1;;;;1;;;;;2;;1;1;;;;;;;1;;;4;;2;1;1;;;;;;;;1;;;;1;1;2;1;1;1;1;1;1;1;;;;1;2;2;1;1;;;;;;;;;;;;;;;;
32952-4130;;;;;;;;1;;;1;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
32826-7118;3;16;1;;3;2;;60;2;6;1;20;25;;3;2;18;11;;33;3;1;;2;1;1;1;1;1;;;1;8;1;2;;;;;;;;;;;;1;;;1;6;;3;;;;;1;;;3;12;5;7;;;;;1;11;1;1;3;2;;2;1;6;2;;6;;2;2;;;;;;;;3;3;;;;8;14;3;;;;;3;3;;;;;;1;;;1;2;4;4;3;2;1;1;2;2;2;;1;;2;;;7;;;3;;;2;2;1;;1;;;;;;
35935-5388;2;19;5;;;;;41;;;3;7;6;1;1;1;7;10;;28;2;16;5;1;2;2;2;2;2;6;;1;5;;1;;;;;1;;1;1;4;;;;;;;2;;;;;3;2;;;;3;3;;1;;;;;;11;;1;3;;;;;;;;1;1;;;1;;1;;;;;;;;;;;3;;;;;;;;;;1;1;2;;;;;;2;2;1;;;1;3;1;;1;;1;1;1;;5;;;1;;;1;;2;8;3;;2;3;1;1;
31430-4130;1;14;7;2;16;4;8;30;1;;;7;8;2;;;;1;2;11;1;5;4;1;;;;;;3;;;3;;1;;;;;1;1;;;5;2;2;4;2;2;2;2;;1;;;5;3;;;;2;2;;1;1;1;2;;;3;;;;;2;1;;;;;3;1;;;4;3;2;;;;;1;1;;;;;6;;4;2;;;1;1;;;1;;1;;1;1;;;;;;;;;1;;;;;;1;1;;4;;1;;;;1;1;;1;;;1;4;3;3;
18926-4605;3;14;;;;;;17;1;;;1;4;;2;2;7;7;;12;3;4;1;2;1;;1;1;;3;;;2;1;;;;;1;;;1;1;;;;;;;;4;;;;;;;;;;;2;1;;;;;;1;2;;;1;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;;;2;2;6;4;3;2;2;2;1;2;1;;1;;;;;6;;;4;2;1;2;2;;;;1;;;;;
31761-5469;1;29;3;;1;4;;61;1;;;17;20;;2;1;10;10;4;72;1;2;;;1;1;1;1;1;11;;3;2;;2;;;;;8;1;;;2;1;;;;;;11;3;1;;3;;;1;;;1;8;1;5;1;;;;5;23;3;;9;3;;1;;;;1;2;;;;8;1;3;2;;;;;;4;1;;1;11;;5;1;1;;;;4;;;;1;;;;;1;1;;;;;3;;2;5;2;7;3;1;1;1;16;1;1;4;;;;;1;;;1;2;;;;
36230-5468;1;5;2;2;;2;;17;;;;2;4;;;;;;;8;1;1;;;1;1;1;1;1;2;;;1;1;;;;;;1;;;;;;1;;2;1;;4;2;;;;2;;1;1;1;;1;;;;;;;;4;;1;1;;;;;;;;;;;;1;;1;1;1;;;;;1;;;;2;;1;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;1;;1;1;;2;;;;;;;;1;;;;1;;;;
27658-4604;2;7;;;;;;7;1;;;1;4;;;;;;;4;3;;;1;1;1;;;;2;;;2;;2;;;;;1;;1;1;;;;;;;;2;;;;;;;;;;;1;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;1;1;;1;;;1;1;1;;;;;;;;
31838-4605;1;12;3;1;;2;;25;1;;;3;8;1;1;1;5;5;3;12;1;;;;1;1;;;;3;1;1;3;;;1;1;1;;3;1;;;1;2;;;1;;;7;1;1;;2;1;1;1;;;1;1;;1;1;1;;;;1;;;;;;1;;;;;;;;;2;;1;;;;;;;;;;1;3;;2;1;;;;;;;;;2;;;;1;1;1;;;;;1;1;;;1;1;;;;1;3;;;;;;;;1;;;;;;;;
36227-5469;;3;;2;;3;;9;1;;1;3;3;;;;;;;6;;2;;;;;;;;;;;1;;;;;;;1;1;;;;;2;;2;2;;1;;;;;;;2;1;1;2;2;;1;1;1;;;;2;;;1;;;1;;;;;;;;;1;;1;;;;;;;;;;;1;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;4;;;2;1;1;;;;;1;;1;;;;
37601-5469;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
