aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;3>2>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;34>38>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
35982-7118;;17;;3;10;4;80;1;8;;44;48;1;2;1;26;12;1;24;;5;;;;;;;3;;3;2;2;3;;;;3;3;3;3;1;8;2;;1;1;;;;7;25;18;;5;4;1;1;8;4;8;2;2;1;1;;1;;8;1;4;;4;;;;1;3;3;14;2;8;1;3;3;2;1;2;1;;3;3;4;2;2;2;33;;3;3;8;6;3;3;2;1;1;1;1;5;2;3;1;;;1;;16;;10;9;5;5;4;2;2;2;4;1;4;1;4;2;;5;;3;2;;;;;;1;;;;
35989-5388;5;44;2;5;6;11;128;5;8;;62;55;1;2;2;11;17;;74;6;12;4;3;3;3;2;2;3;7;9;8;1;6;2;2;2;4;;4;4;1;24;2;;7;4;;;4;5;23;17;2;5;2;;1;9;;26;1;3;9;;1;5;3;8;2;2;2;10;2;;;5;3;3;14;2;8;1;3;1;1;;;;;3;1;3;8;2;2;42;4;3;3;10;5;1;1;1;;1;;5;2;;2;1;1;1;2;2;5;2;3;1;1;;;;4;2;1;3;5;5;7;5;1;16;1;1;;;3;3;3;1;2;3;1;1;
34532-7118;3;21;4;;16;5;92;4;13;;54;55;3;1;;4;10;1;48;3;11;1;2;2;2;1;1;2;7;3;1;;3;2;2;3;;3;;;;13;2;5;;2;2;2;3;11;36;24;2;1;;;3;3;;20;;2;1;;;4;2;13;1;6;2;4;2;1;1;;1;1;12;1;3;;;;;;2;;;6;3;;5;;6;37;2;;;6;3;;;;;4;3;3;4;4;1;3;3;;;;1;;;;;;;;6;1;3;;1;1;5;1;2;5;1;;;;2;2;2;3;;2;1;;
23953-6388;1;20;;;10;4;107;;3;3;10;13;2;2;2;82;19;;28;1;5;;1;;;;;3;1;2;;;2;;;;;3;;;1;11;2;;1;1;;;1;2;3;2;;2;;;;10;9;6;;;2;;;;;1;;1;2;1;;;;;;;8;1;3;;1;;;;;1;;;;1;;;;5;;;;4;1;1;;;;;;;1;;;2;;2;1;2;38;;19;9;5;3;3;;2;1;11;1;2;1;;;;6;;;;;1;1;;;1;1;;;
36026-6389;1;6;1;;5;6;61;4;6;1;27;29;4;2;2;34;8;;44;1;3;;;1;;;;1;;;;;1;;;1;;1;;;2;1;1;;;;;;4;3;13;11;2;2;1;1;1;2;;19;2;;4;3;;3;1;6;1;;;6;;1;1;;4;4;7;;3;;1;1;1;1;1;1;;1;;2;1;;3;24;5;3;3;6;3;1;1;1;1;;;;1;;;;;1;2;1;27;1;17;13;10;8;6;1;1;2;2;1;2;2;4;4;;9;;3;;;;;;;;2;;;
18523-7274;;22;;;7;13;68;1;5;1;55;58;1;2;1;35;18;1;67;1;20;;;;;;;1;1;4;2;;;;;;;1;;;;7;;;2;;;;3;4;17;13;;6;3;2;3;5;;20;1;2;4;2;;1;;5;1;1;1;4;2;2;2;1;;;20;1;10;;6;3;2;1;3;1;9;5;3;3;16;2;1;38;2;;;14;7;3;1;;;2;2;6;7;5;4;2;1;;;1;14;;9;6;2;2;2;2;;2;2;3;3;;8;4;1;26;4;12;6;2;;;;;8;3;;;
18399-6388;2;18;;;;;31;;1;;2;6;;1;1;2;5;;6;2;1;;2;;;;;4;3;1;;;;;;;;;;;;11;3;2;1;;;;;7;2;1;;1;;;;4;;3;;;1;;;;;;;;;1;;;;;;;2;1;1;;1;;;;;;;;;;;2;1;2;;;;2;1;1;;;;;;;;;;;;1;;1;;;;;;;;;;;1;;;;;;;1;;;;;2;2;;;;;;;
36453-7274;1;28;16;8;;9;54;;;10;7;17;4;2;1;7;11;3;41;1;58;;;1;1;1;1;12;;2;;;6;;;9;;;8;;;5;2;;;2;15;9;3;9;1;1;;;;;;2;;7;;;1;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;1;1;2;;6;;;;2;1;;;;;;;1;3;;1;3;3;;;;2;;1;;;;;;1;;1;1;;2;3;;2;10;2;3;2;1;;;1;40;;18;;;
28126-5468;;5;;;;;20;1;;;24;20;1;1;1;2;5;;14;;16;1;;;;;;1;;2;1;1;;;;;;;;;;;;;;;;;;1;6;4;;2;;;;;;7;1;1;2;1;1;1;1;;;;;2;;2;2;;;;13;;5;;2;;;;;3;5;;;3;10;1;1;11;1;;;7;1;1;;;;;;1;;;1;3;1;1;;1;;;;;;;;;2;1;1;;3;;2;1;3;5;;1;;;;;;2;7;2;1;;
31430-5468;4;39;19;;8;1;68;5;7;1;44;39;11;3;3;7;12;11;29;4;8;2;3;2;2;3;2;5;11;3;2;;6;3;2;15;;1;;;1;9;;2;1;2;12;10;;1;13;10;1;5;2;1;1;4;;9;;;2;;2;5;2;7;3;;1;10;2;2;1;3;1;1;16;2;10;2;5;3;3;2;;1;1;7;6;4;4;3;5;33;4;;;13;7;3;2;2;1;3;2;3;1;1;2;;8;2;1;2;6;2;4;3;3;2;1;;3;3;1;1;2;2;3;1;;10;1;3;1;;2;2;2;1;1;3;2;2;
31666-5468;1;11;;;1;3;50;;3;1;15;18;;3;2;22;4;;30;1;6;5;1;;;;;1;1;1;1;1;1;;;;;;;;;3;;;;1;;;3;1;10;7;1;2;1;;;;;18;2;1;4;2;4;;;3;;2;;5;;;;2;2;2;6;4;2;2;1;;;;1;;;1;1;;;1;1;10;1;1;1;4;2;1;;;;;;;;;;1;;;;1;8;1;4;1;1;;;1;1;3;;;2;2;3;1;;5;1;2;1;1;1;1;;1;1;;4;4;
31270-6388;;14;1;2;;3;125;;3;;7;16;1;2;1;11;11;;61;;2;7;;;;;;;5;;;;;;;1;1;;2;1;;7;;2;;;;;2;13;8;4;2;;;;;6;;37;;1;8;4;6;;;;;;;4;;2;2;;;;;;;;;;;;;;;4;3;;;;7;7;3;;;;;;;;;4;3;;;;;1;1;1;2;1;7;1;2;2;2;1;;;7;2;1;;;1;3;2;2;16;1;6;3;1;;;;1;1;;1;2;
37620-5468;8;29;1;;1;4;50;3;7;1;19;28;1;2;2;9;11;;31;6;3;2;3;2;1;5;2;6;1;3;2;1;5;3;3;;;;;;1;9;2;;1;1;;;3;;6;3;;1;1;1;1;2;1;9;;;1;;;3;1;7;2;;2;3;;;;2;3;3;9;1;2;;2;2;1;1;1;;;4;4;1;;2;;16;;2;2;9;2;2;2;1;1;;;;1;;;1;;1;;2;3;1;1;1;1;1;1;1;1;2;1;2;2;;2;1;4;5;2;1;;;3;2;2;;1;;1;;
36211-7098;1;11;6;1;8;4;24;1;;;8;8;2;1;1;11;7;3;27;1;1;;;1;1;1;1;3;4;1;1;1;1;;;5;1;1;;;1;3;1;;1;;3;2;1;1;2;;;;;;;3;;3;;;1;;;1;1;;;;;2;;;;1;;;6;1;4;1;2;1;;;;;;;;;;;;6;1;;;4;2;2;1;;;;;;1;1;;;2;1;1;;4;;4;3;3;3;2;1;3;1;3;;1;;;;1;11;;4;1;;;;1;1;;1;;;
34654-5468;2;14;1;4;1;6;99;1;;;20;21;2;4;2;5;9;;45;2;4;1;2;1;;1;;2;4;;;;;1;1;;2;;3;2;1;8;1;2;;;;;2;3;11;10;4;;;;;5;1;18;3;;4;;1;1;;;;;;9;;2;2;3;;;;;;;;;;;;;;7;6;;;;;17;7;;;;;;;;;7;6;;;;;;;1;1;2;3;2;3;2;2;2;2;1;3;3;3;;5;1;;;2;13;;3;1;1;2;2;1;;;;1;1;
30749-7118;2;20;5;1;1;4;56;1;1;2;20;35;2;4;3;20;12;6;43;2;5;1;;2;2;1;;1;4;3;3;3;;1;1;3;1;;1;1;;3;;2;1;;1;;1;;13;6;;4;4;3;;3;;9;1;1;2;1;;1;1;1;1;;3;3;1;1;1;1;1;1;15;2;11;2;6;4;3;3;1;;2;2;1;2;2;2;2;19;;1;1;14;10;6;4;3;3;;;;1;1;3;2;1;2;;3;6;1;1;1;1;1;;1;2;3;1;;3;;4;2;2;14;3;5;2;;1;;2;;1;1;1;;
21659-5388;;31;;3;1;4;114;1;3;;57;69;;1;1;4;11;;43;2;1;6;;;;;;1;9;6;6;1;3;;;;2;;2;2;;10;;3;2;1;;;4;8;34;21;3;10;1;;;6;;16;1;1;2;2;5;1;;2;;1;3;10;1;3;2;1;;;19;4;3;1;1;1;1;1;2;;;6;5;1;;4;5;44;6;;;14;2;1;1;1;1;2;1;;1;1;2;;;;;;;;;;;;;1;2;1;1;4;6;1;1;;;7;;4;4;3;;;;1;;;1;4;
21380-5714;1;13;;1;;1;40;1;1;;6;14;;;;;;;53;1;;1;;1;1;;;2;1;;;;3;;;;1;;1;1;;6;1;1;;;;;;1;5;2;1;;;;;;;14;;;4;;1;1;1;1;1;;;1;;1;1;;;;2;;2;;2;;;;1;;;1;1;1;;1;3;6;1;;;2;2;2;;;;;;;2;1;2;;;;;;;;;;;;;;;;;;1;1;1;;;11;;3;2;1;;;1;;;;;;
28102-5388;4;27;1;2;7;5;74;2;2;1;23;20;;2;2;6;7;;33;6;4;3;4;1;1;1;;5;1;;;;2;2;2;;2;1;2;2;1;12;2;1;;1;1;;3;1;9;6;;2;2;2;;3;1;12;;;;;1;1;1;2;;;1;1;;;;;;;7;;4;;4;3;3;3;;1;;;;2;;;;13;1;;;2;2;2;2;2;2;;;;;;1;1;;1;;1;2;1;;;;;;1;;2;1;1;;2;1;;;2;;2;2;2;4;4;1;;2;2;2;2;
31433-6388;2;13;;;1;2;33;1;6;;14;18;1;3;2;36;8;;7;2;1;;1;1;1;1;1;1;2;1;;;1;;;;;;;;1;5;;;1;1;;;;3;5;3;1;1;;;;3;1;2;1;;;;;1;;5;;;;1;;;;;4;4;3;;2;;;;;;;;;1;;;1;1;1;5;1;1;1;1;;;;;;1;;;2;1;;;1;;1;;15;;10;8;4;2;;3;1;1;1;;1;;;;;1;;;;;1;1;1;1;;;;;
27420-7274;1;6;1;;;;18;;;1;3;5;5;1;;3;2;2;12;1;3;1;;1;1;;;1;1;1;;;;;;1;;;;;;4;1;1;1;;;;;2;;;;;;;;1;;5;;;2;1;;;;;;;;;;;;;;;2;;2;;1;1;1;1;;1;1;;;1;2;;2;1;;;;1;1;1;1;1;1;;;;1;;;2;2;;;;2;;1;1;;;;;;1;;;;;1;;;4;;1;1;1;;;1;1;2;1;;1;
36368-5388;2;28;;5;6;6;41;;2;;19;20;;3;2;7;12;;42;2;1;;1;1;1;1;1;7;2;6;5;4;6;1;1;;4;4;1;1;1;13;3;;1;2;;;3;;4;2;;1;;;;4;;7;1;;4;2;;;;2;;;;;;;;;;;7;;4;;4;3;2;2;;2;;1;;4;1;2;;12;;;;6;3;3;3;2;2;;;1;;;3;;;2;2;1;3;1;3;3;2;2;2;1;;3;4;3;3;2;6;4;3;20;2;9;3;2;1;1;1;;;;;;
22977-7118;1;15;;1;;1;78;2;13;;56;56;;3;2;6;13;;41;1;1;2;;1;;1;1;2;5;5;3;2;3;;;;1;;1;1;;3;;;2;1;;;1;2;43;32;1;25;18;13;5;5;;20;3;3;10;5;1;2;1;13;1;2;5;8;;1;1;1;4;4;40;6;30;3;22;19;12;8;3;6;1;5;2;7;1;;1;47;1;1;1;39;30;22;19;12;8;2;1;;6;5;10;;;;;1;3;1;2;1;;;;2;1;2;1;1;6;4;11;9;3;21;4;12;3;1;;;;;;;;1;
30137-7118;3;13;1;;2;2;35;2;2;;13;16;1;2;2;13;8;1;30;3;;;2;1;;2;1;3;;2;2;;2;2;1;;;;;;1;6;;;;1;;;1;2;5;2;;;;;1;2;2;8;1;1;1;;;2;1;2;1;;1;1;;1;;;1;1;1;;1;;;;;;;;;2;;3;;1;;8;;1;1;1;1;;;;;;;;2;1;2;;;1;;2;9;2;5;3;3;3;1;1;1;2;3;;3;2;3;1;1;4;;;;;1;1;1;;;;;;
31362-5714;2;8;1;;19;2;33;3;4;;13;13;;2;2;20;6;;45;2;1;;1;2;2;1;1;1;2;1;;;1;1;1;;;10;;;1;3;;;;1;;;1;3;3;1;1;;;;1;2;1;21;;2;10;3;;3;1;4;2;;;6;;1;;2;1;1;;;;;;;;;;;;2;;;;;1;8;4;1;1;;;;;;;1;;;1;;1;1;;;1;1;10;1;5;2;;;;2;1;2;2;;1;3;3;2;2;15;1;4;2;1;1;1;2;;1;;;;
31420-5468;2;24;1;4;23;6;120;6;15;1;94;77;;3;1;6;14;;57;2;17;16;1;;;1;;1;1;9;6;3;3;2;1;;2;8;1;1;2;8;1;;1;1;;;3;2;28;23;1;10;4;3;1;3;3;21;2;5;5;1;7;6;5;15;;3;4;3;;;;;1;1;30;;13;;8;6;4;3;;3;1;1;1;6;1;;;62;3;;;22;11;6;4;3;2;1;1;;2;1;4;1;;1;1;;;;;;;;;;;2;5;1;10;;15;12;1;17;1;8;1;1;1;;1;;1;2;12;10;
33695-5388;1;10;;1;;1;50;4;16;;44;34;;1;1;5;5;;23;1;;;1;;;;;4;2;1;1;;;1;1;;1;;1;1;;5;1;1;1;;;;1;2;16;6;;1;;;7;2;;12;;1;3;;;4;;16;4;7;;13;3;4;1;3;1;1;12;5;4;1;;;;;;;;1;1;;;;4;23;4;1;1;2;;;;;;;;;14;10;1;;;1;1;1;5;1;4;4;3;2;2;;2;1;1;;1;1;1;;;5;;1;1;1;1;1;;;;;;;
27992-5469;1;4;1;;;;11;;;;;;;1;1;1;4;;14;1;;;1;;;;;1;1;;;;2;1;1;1;;;;;;1;;;;;;;;2;;;;;;;;;;5;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;1;2;;;;1;5;;3;;;1;1;;;;;;;
10127-5469;1;11;;;;1;37;1;;;3;9;;1;1;7;8;1;29;1;2;;1;1;1;1;1;2;3;;;;2;1;1;;;;;;;4;;;;;;;1;1;2;;;;;;;3;2;14;1;1;5;2;;1;1;;;;;1;;;;1;;;;;;;;;;;;;;1;;;;2;1;1;1;;;;;;;;;;;;;;1;;;1;;1;2;1;1;;;;;1;1;1;2;;5;;4;;1;11;2;6;4;1;1;1;1;2;;;;;
18672-6398;2;25;2;1;;2;37;1;;1;8;11;;5;3;31;15;1;25;2;57;1;1;1;1;1;1;;6;;;;1;1;1;2;1;;1;1;;6;;;;;;;;2;2;1;;1;;;;3;;12;;;3;2;;1;1;;;;1;1;;1;1;;;;2;1;;;;;;;;1;1;;;1;1;1;2;3;;;;1;;;;;;;;;;;1;1;;2;1;3;10;1;5;1;;;;2;2;4;3;;;;;;;10;;4;2;1;1;1;1;3;;3;;;
35994-5468;3;17;;3;;3;51;3;1;;25;25;;2;1;1;8;;37;3;1;;3;;;2;;2;1;3;1;1;6;3;3;;3;;3;3;;9;;;1;3;;;;11;10;5;;1;1;;;2;;7;;1;2;;;3;1;1;;;2;;;;;;;;11;;5;;3;2;2;1;;1;;;;2;;2;1;15;;;;7;5;3;2;2;1;;;;1;1;1;1;;;;1;1;1;1;1;1;1;1;1;;2;;;4;;1;1;3;11;;1;1;;3;3;1;;;;;;
21367-6398;2;23;3;;;1;56;;;1;17;15;2;4;4;35;19;1;29;2;5;2;1;1;1;1;1;;8;;;;1;1;1;3;;;;;;14;;4;;;1;1;1;1;9;8;3;2;1;1;;7;;14;;;7;4;1;;;;;;;8;3;1;;4;;;4;2;2;1;2;;;;;;;;;;;;;12;4;;;3;1;1;;;;;;;;;1;1;1;2;3;2;19;1;12;9;6;5;3;2;5;3;2;3;1;;1;;1;16;1;9;4;3;1;1;1;1;1;;1;;
35833-5469;2;14;;;;1;28;;;;5;6;;1;1;5;2;;24;2;1;;1;2;2;1;1;2;1;2;1;1;4;1;1;;;;;;;6;1;;2;1;;;1;1;;;;;;;;;;8;;2;3;;;;;;;;;1;1;;;;;;3;1;1;;;;;;;;1;1;1;;1;;1;5;;;;3;1;;;;;1;1;;;;;;;1;;1;4;1;3;1;1;1;1;;;;;;2;;4;4;;6;1;;;;1;1;2;;1;;;;
36389-5469;2;25;3;1;2;3;52;1;1;;8;14;;2;1;4;3;;40;2;;;1;1;;1;;3;3;3;2;;6;1;1;2;1;;1;1;1;5;;;;2;;;2;2;3;2;;1;;;;;;15;4;;4;2;;1;1;1;;1;1;;;;;;;;2;;1;;1;1;;;;2;;;;3;;;2;7;;;;1;;;;;;;;;;;3;;;;;1;3;1;2;1;1;;;1;;2;;;7;1;4;2;;18;2;7;4;2;1;1;;;;;;;
32790-6388;1;11;;;;4;23;;2;;8;17;;;;;7;;22;1;1;;1;;;;;1;1;1;;;1;1;1;;;;;;;5;;;;1;;;3;1;4;1;;1;1;1;;3;;4;1;;1;1;;;;;;;;;;;;;;;5;;3;;1;1;;;1;3;1;1;1;3;1;1;;7;;;;5;3;1;1;;;;;;1;;2;;;;;;;;;;;;;;2;;;1;1;;1;1;1;7;;3;3;1;1;1;;1;;;;;
24091-6398;1;16;2;1;;5;54;2;1;2;36;34;3;2;1;46;19;2;18;1;7;2;1;;;;;3;;7;6;3;;1;1;1;1;;1;1;;7;1;;4;;1;;2;4;17;12;;8;5;3;1;13;7;8;1;1;1;1;;2;2;1;;;1;5;1;1;1;1;;;19;3;12;2;9;3;1;;2;1;2;5;4;2;3;;3;28;1;;;16;9;6;2;1;;1;1;1;1;1;1;;1;1;1;1;20;1;12;8;3;2;1;;;2;11;1;1;;4;3;1;4;;1;1;;1;1;;1;3;;2;1;
30708-5468;4;21;8;;;1;44;;1;1;5;5;;2;1;10;4;;38;4;3;1;2;3;3;4;3;1;3;;;;2;2;2;6;;;;;;7;;1;;;7;6;;4;;;;;;;;;;12;1;;4;1;1;;;1;;1;;1;;;;;;;2;;1;;1;1;1;1;1;;;2;2;;;;;3;;;;1;1;1;1;1;1;;;;;;;;;;;1;5;1;3;2;2;2;2;1;;2;1;;1;1;;;;8;;1;1;;2;2;3;;;;1;1;
36050-5469;1;13;;3;9;8;67;2;1;;28;41;1;1;1;6;5;;52;2;10;1;1;;;1;;1;1;3;2;2;;1;;;2;1;3;2;2;2;;;;;;;3;2;19;11;1;8;2;1;1;2;;10;;;1;;1;1;1;1;1;;1;5;;1;;;;;17;3;6;1;5;4;3;1;1;;2;1;;1;4;1;3;21;1;;;14;5;4;3;2;1;;;2;2;1;4;3;;;;;1;;1;;;;;1;1;1;;;1;;1;;;11;;2;;;;;1;;3;2;;1;
15494-5714;2;25;;;38;4;48;1;1;2;14;25;1;2;2;39;8;;57;2;15;4;1;1;1;;;3;2;2;;;2;;;;;14;;;1;6;1;;1;;;;;1;5;;;;;;1;;;16;1;1;2;2;3;1;;1;;;1;1;;;;;;;;;;;;;;;;;;4;1;3;;1;5;8;1;;;;;;;;;1;1;;2;1;2;5;;1;1;2;21;2;12;9;3;2;1;1;2;1;3;1;4;1;4;3;1;10;;6;2;;1;1;1;1;5;7;4;3;
36316-5468;2;13;;;;1;50;2;9;1;24;21;2;1;1;4;5;1;29;2;7;3;1;1;1;1;1;1;4;1;;;2;1;1;;;;;;;8;;1;;2;;;;1;9;6;;1;1;;;;;13;3;1;2;;2;2;2;9;3;;;6;3;2;1;1;3;3;4;1;3;1;1;;;;1;;;5;4;;2;;2;16;1;1;1;4;3;1;;;;2;1;2;;;;2;;;1;;1;;;;;;;;;1;1;;4;1;3;3;1;4;;1;;;1;1;1;2;2;;2;3;
36634-7098;;20;;4;6;10;111;2;8;1;93;90;;2;1;17;15;;60;;11;4;;;;;;6;2;4;3;1;2;;;;4;3;4;4;2;6;3;;;;;;4;5;57;43;2;21;10;6;4;6;1;16;1;;2;;1;1;1;8;2;1;3;13;1;5;5;1;1;1;42;7;20;3;10;8;7;3;2;6;;5;3;11;1;2;3;69;3;;;33;16;8;6;5;2;3;3;1;6;4;7;3;;1;2;;5;;2;2;2;2;2;;1;2;4;4;2;4;7;3;2;12;2;2;;;;;;;2;1;3;2;
35640-5388;;13;1;6;1;4;101;2;11;;48;45;3;2;1;6;5;;49;2;11;2;;;;;;2;4;;;;;;;;3;;3;2;1;9;2;3;;;;;2;6;28;21;2;;;;;1;;30;1;;2;1;1;2;1;10;4;;;11;;2;1;2;;;6;3;3;2;2;1;1;1;1;;;7;4;;2;;7;34;4;;;5;3;2;1;1;1;5;2;2;;;;1;1;1;1;1;2;1;;;;;;;3;1;;;1;;1;1;1;6;1;3;2;;;;;4;;1;;;
35996-5468;1;4;1;1;;1;34;;;;3;5;;2;1;6;3;2;18;1;1;1;1;;;;;;3;;;;;1;1;1;1;;1;1;;2;;2;;;;;;6;4;2;1;;;;;;;7;1;;3;;;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;2;3;2;;;;;;;;;1;;;;;;;;;;1;1;;;;;;;1;1;1;1;;2;;;;1;7;;2;;;1;1;;;;;1;;
31592-6388;3;8;;;8;3;27;;;;1;4;;3;3;22;6;;17;3;;;2;2;2;1;1;3;2;;;;;1;1;;;2;;;1;4;;;;;;;2;3;3;;;;;;;2;;11;;;2;1;;;;;;;;1;;1;;;;;;;;;;;;;;;;1;1;;;;2;1;1;;;;;;;;;;;;;;1;;;2;;3;11;2;7;5;2;;;1;;3;1;;1;;;;;3;;1;1;1;1;1;2;;;;;;
28026-7118;;15;1;;15;4;93;1;3;;31;35;1;4;2;5;12;;66;;4;1;;;;;;2;;7;4;1;1;;;1;;1;;;3;5;;;2;;;;1;2;13;11;;6;4;2;;4;1;25;;;10;4;;1;;3;;2;3;1;;;;;2;2;18;1;9;;4;3;1;;;;;1;1;4;;;;20;;2;2;9;6;3;2;;;1;1;;;;5;1;1;1;;2;2;;1;;;;;2;1;4;2;;3;2;2;;2;22;2;9;5;2;;;;;;;1;;
36354-5388;4;19;10;1;8;7;59;;8;1;35;34;7;1;1;4;5;;26;7;1;;2;1;;;;2;3;2;;;2;2;2;3;1;;1;1;1;5;;;;;1;1;4;2;16;10;2;;;;;;;9;1;;1;;;;;7;1;4;;9;;;;3;;;8;3;1;;;;;;1;;;2;2;;;1;1;22;4;;;2;;;;;;1;1;;1;1;2;1;4;;;1;;;;;;;;1;1;1;1;1;5;;3;1;1;5;1;1;1;;3;2;;;;;;;
22906-7098;1;21;;;;1;58;2;5;;18;23;;3;2;14;11;;42;3;4;;;1;1;1;1;;1;2;2;1;5;;;;;;;;;6;;;1;;;;;3;8;5;1;1;;;1;3;1;18;2;;4;2;;1;;5;1;;2;3;1;;;;1;1;3;;1;;1;;;;;;1;1;;;3;;1;11;1;1;1;3;1;1;;;;1;;2;4;2;6;1;;;2;1;4;1;1;1;;;;2;2;3;3;;7;1;7;1;2;12;2;5;4;3;;;1;1;1;;;;
36899-5388;2;21;;;;4;41;2;5;;16;13;;2;1;5;9;;25;1;8;2;1;1;1;2;1;6;1;3;;;5;1;1;;;;;;;10;4;;;;;;1;;4;2;;;;;;3;1;10;1;;2;2;1;2;2;5;;2;;;;;;;1;1;7;;1;;1;1;1;;;;2;;;;4;;;6;;;;2;;;;;;;;;;;3;4;;;;1;3;1;3;2;2;2;2;1;1;2;2;1;3;;3;1;3;3;1;2;1;;1;1;1;;4;2;;2;
36212-5469;4;25;;9;32;14;93;5;6;;51;54;2;3;1;9;10;;62;4;3;;4;1;;2;1;2;2;1;1;1;1;1;;;8;7;5;4;4;3;;;;;;;8;4;18;9;;5;1;1;2;2;1;10;1;;1;;;5;4;5;1;2;;3;;;;;;;20;2;7;;4;1;1;;;;1;2;1;2;1;;1;30;;;;10;3;3;;;;;;;2;2;3;;;1;;1;4;;4;3;2;2;2;;;3;1;2;3;1;2;;1;8;;1;;;3;3;1;;;;;;
36491-7098;1;26;1;4;;7;67;1;7;;70;53;;;;;8;1;45;2;8;;;1;1;;;5;;4;4;1;6;;;;2;;4;1;;3;1;;;;;;1;1;27;21;;2;1;1;1;3;;10;;1;1;;;1;1;7;;;2;1;;1;1;;1;1;19;1;9;;7;3;3;3;;2;;1;;4;2;1;;44;;;;13;7;5;2;2;2;1;;1;2;2;2;1;;;;;;;;;;;;;3;;;3;1;2;4;4;1;8;1;1;;;;;1;2;1;2;;;
36075-7098;;16;;1;5;3;19;1;4;;32;27;;3;1;7;8;;35;;4;;;;;;;4;;4;3;1;4;;;;1;3;1;1;2;3;1;;;1;;;1;;3;3;;2;2;1;;2;;4;1;;1;;;1;1;4;;2;6;1;;;;1;2;2;20;;11;;7;5;3;2;1;3;1;2;;5;2;2;;22;;1;1;14;9;5;4;3;2;;;1;1;1;3;;;1;;;;;;;;;;;;3;1;1;3;1;3;3;;7;2;1;;;;;;;3;1;;;
31347-5469;6;24;1;1;11;7;100;4;2;1;33;42;3;2;1;1;9;1;34;6;7;5;4;3;3;5;3;4;9;2;2;;4;3;2;1;1;4;1;1;1;16;2;2;1;3;1;1;4;6;26;21;5;7;2;;3;3;;19;;1;5;2;5;4;3;2;1;;;12;1;3;3;1;2;2;12;4;4;2;1;;;;1;;;7;4;;1;;4;30;9;2;2;10;3;1;;;;6;4;1;4;;;;3;1;1;;;;;;;;;;;2;1;1;1;2;3;1;;6;;2;1;;2;2;3;4;;;3;4;
27794-6398;1;26;33;1;;1;69;1;;;30;38;;1;1;12;10;10;21;1;15;1;1;;;;;2;4;4;3;;6;1;1;10;1;;1;1;;3;1;;1;1;28;6;;3;18;11;;2;1;;;1;;5;;;4;4;;;;;;;3;;;;;;;;13;;6;;2;;;;;;7;3;2;;12;2;;23;;;;9;4;2;;;;2;2;5;;;3;1;;1;;1;7;;4;4;4;2;2;;1;1;;3;1;1;1;;1;10;;7;4;1;1;1;;;7;2;1;1;
36509-5469;1;29;4;4;20;9;67;2;7;;45;50;2;1;1;12;17;;80;2;5;;;1;1;1;1;3;7;6;4;4;6;;;2;3;9;4;3;2;7;;2;2;1;1;;2;4;22;14;1;5;2;1;3;4;1;11;1;;3;1;;2;2;7;;4;;8;1;2;2;;2;2;22;4;15;1;6;3;2;1;3;2;1;4;1;6;2;6;3;33;3;1;1;15;9;4;2;1;1;1;;1;5;3;5;2;2;;;1;1;;1;1;1;1;1;;1;1;7;4;9;2;4;1;2;20;1;7;4;1;;;1;1;1;;;;
