aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>2>41>;2>14>;2>14>2>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>41>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>3>;14>3>2>;14>7>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>31>41>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>2>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30>48>30>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>31>;32>31>30>;41>2>;41>2>2>;41>14>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;49>49>49>;
22469-7274;;5;2;;6;1;26;2;3;;16;23;;;7;;4;4;;;;1;;;;;;;;1;;1;;;;1;;3;;;;;2;1;;2;1;15;4;7;3;;;;;;;4;;;;;3;2;2;3;1;1;;6;;;;;;;1;;;;;;;;;;1;;;5;5;;;;;;6;3;13;5;;;;;;;;;;5;5;;;;;;;;;;;;1;;;;1;;;;;;;;;;2;2;1;1;
19254-6389;1;9;1;3;6;6;27;1;4;;14;12;2;1;7;1;7;1;1;;;1;;1;;;;;;1;2;3;2;1;1;3;;6;1;1;;;1;1;4;;;8;2;6;;1;1;;;;;1;;;1;;1;1;1;4;;2;;1;1;;;;1;1;6;;;2;;1;1;1;1;1;;;1;2;1;1;;3;;;2;1;9;;1;1;4;2;1;1;1;1;1;2;1;1;;;;;;;1;1;1;;;1;;;2;;;1;;;2;;;2;1;1;1;1;
31273-5388;1;8;;2;;5;23;;1;;20;19;;1;5;1;;2;2;;;;;;2;2;1;1;;;2;;;2;2;;1;3;;;1;1;;;4;3;;8;;6;;2;;;;;;1;;;1;1;;;;1;;;2;1;;;;1;;;6;2;;2;;2;2;1;1;1;1;;;3;1;1;1;;;1;;;13;;;;5;2;1;1;1;1;1;;;;;;1;;;;;;;;1;1;;;1;;;1;1;1;;;;;;2;;2;
32869-5714;;2;3;;;2;8;;2;;9;8;;;6;;;1;1;1;;;;;1;1;1;1;;1;;;;;;;2;;;;;;3;1;2;;;2;;2;;2;;;;;;;;;;;;;;1;;1;1;;;;;;;;8;1;;2;;2;1;;;;;2;;;;;2;;;;;;6;;;;6;2;2;1;;;;;;;;;2;;;;;;;;;1;1;1;;;;;;;;;;;;1;;1;
21888-7274;;6;;1;;1;13;1;3;;9;11;;;12;;;;;;;1;1;;2;2;;;1;;1;;;1;1;;;5;;;1;1;;;1;;;2;;1;;1;1;1;1;;1;2;;;1;;;1;1;3;2;;;2;1;;;;;;1;;;1;;1;1;1;1;;;;;1;;;;;;;1;;5;;;;1;1;1;1;1;1;;;;;1;;3;1;;;;;1;;;2;1;;6;1;1;2;;;;;;;;;;;
22677-5469;;2;2;;1;1;10;1;;;4;6;2;;5;;1;1;1;;;;;;;;;;;1;;;;;;;1;;;;;;2;1;1;1;;2;;1;;;;;;;1;1;;;;;;1;;;;;;;;;;;;;2;;;1;;;;;;;1;;;2;1;1;;1;;;1;1;3;;;;1;;;;;;;2;1;1;;;1;;;;2;;;;;;;;2;;;;;;;;;;;;;;
27881-5388;;4;;;25;1;23;;1;;14;13;;;9;;6;;;;;2;;1;;;;;;;;9;2;;;;;1;;1;;;;;1;4;1;4;;3;1;;;;;;;4;2;;;;;;;1;1;;;4;;;;1;;;1;;;;;;;;;;;;1;;;;1;3;;;;;6;2;;;;;;;;;;;;1;;;1;;2;1;;;2;;;;;;1;;;;;;1;;2;1;;;;;
31618-6388;1;14;1;2;1;3;40;1;2;;17;34;9;;16;1;3;;2;1;;2;;1;4;2;1;1;3;;1;;;1;1;1;;5;2;;1;1;;;2;;;18;1;9;;4;1;1;;3;;9;1;1;1;;;;;1;;;;4;;1;;1;1;1;10;;3;6;1;4;2;1;1;;;;1;;;;;2;;;5;1;16;;1;1;10;6;4;2;1;1;;;;1;7;3;1;;1;;8;2;3;;1;1;;;1;;;;;;1;;;2;;;;;
36276-6388;;8;;;;;35;;1;7;3;13;;;19;;10;3;5;;3;1;;;;;;;3;;;;;;;;;1;1;;;;;;;1;;8;1;2;;2;;;;;;4;;;2;2;1;;;;;;;;;;;;;;3;;;1;;1;1;1;1;;;2;1;;;;2;1;;2;1;;3;;;;3;1;1;1;1;1;;;;;1;;1;;3;;;;3;2;1;4;1;1;10;2;4;4;2;2;;5;;5;3;;;;
28338-7118;;4;;;2;2;14;1;2;;12;9;2;;4;;9;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;6;;4;;3;3;2;;;;3;;1;;;;1;1;2;;;;1;;;;;1;1;4;;1;4;1;3;1;1;1;1;1;;;2;2;1;;2;;;;;7;;1;1;4;4;3;1;1;1;1;1;1;1;;;;;1;1;2;2;1;;;1;;;;;;;;;;;1;2;1;;;;
35796-5468;1;17;;1;5;8;54;2;;;18;24;;1;19;1;10;;1;;;3;;;7;6;5;5;2;;1;;;1;1;1;;10;1;;6;5;;;5;4;1;11;1;5;;5;4;1;;;;11;3;;6;3;;2;1;;;;1;5;2;;;;;;14;1;4;11;2;7;4;4;3;2;;;;;;;;1;;1;1;;15;1;;;13;11;7;4;4;3;2;;;1;;;;;1;;;;4;;2;1;1;1;10;;1;5;2;1;4;;;1;;;;;
15669-6398;;4;;1;;2;16;;;1;5;10;;2;5;;1;;2;2;;;;;3;2;2;1;1;;;;;1;;;;2;;;1;1;;;1;1;;4;;1;;;;;;2;;2;1;;1;;;;;;;;2;;;;;;;;4;2;;2;;2;2;2;;;;;;;;;;;;1;;;5;;;;4;2;2;2;2;;;;;;2;;1;;;;;;1;;;2;2;2;2;;1;1;1;1;;1;;1;;;;;
35720-6398;;13;1;;3;3;27;1;5;1;25;23;2;2;15;;12;;;;;;;;6;6;4;;;;;;;;;;;10;;;6;6;;;3;1;1;5;;4;;1;;;;;;1;;;;;;1;1;5;1;1;;2;;1;;;;;7;;;1;;1;1;1;1;1;;;4;2;1;;1;6;2;;;;16;;;;5;;;;;;;1;;;;;2;1;;;1;;;;;;;;2;;;1;1;1;;;2;3;;;;;
28170-7118;;7;2;;;4;10;1;;1;8;10;;;8;;2;;2;1;;;;;3;3;1;1;2;2;;;;;;;3;4;1;;1;1;;;3;;;1;;1;1;;;;;;;3;3;;;;;1;;;;;;1;;;;;;;4;;;2;;1;1;;;;;;;1;;;1;;;;;;7;1;;;4;2;1;1;;;;1;;;;;1;;1;;;;5;1;;2;1;1;;;;;;;;1;;;;;;;
22499-5388;;5;;;;1;9;3;3;;14;15;1;;7;2;;;1;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;;3;;2;;;;;;;;2;;1;;;;3;2;2;;;1;;;;;;;;4;;;1;;;;;;;;;;1;1;1;;;;;;;10;;;;4;1;;;;;;;;;;;2;;;;1;;;;;2;1;1;;;;;;;;;;;;;;;
26859-6398;;14;3;1;2;4;59;4;3;6;28;38;14;1;31;2;12;13;2;;1;3;;;2;1;1;;1;1;1;;;1;1;;;5;1;2;2;1;3;1;;4;;8;;3;;1;1;;;;;16;;;7;1;9;1;1;3;1;;;6;3;;;;2;2;9;;3;5;2;1;1;;;;;;;2;1;;;;;1;3;;21;2;1;1;7;5;1;1;;;;1;;;;;1;;;;11;10;1;1;1;2;1;1;11;1;2;2;;;2;6;;2;10;5;4;2;
3597-5469;;6;2;;;;9;1;;;7;6;;;8;;4;;1;;1;;;;;;;;2;1;;;;;;;;2;;;;;1;;;1;1;2;;2;;1;;;;;;4;1;1;;;;1;;;;;;;;;;;;;3;;;1;;1;1;;;;;;1;;;;1;3;3;;1;1;4;;;;2;1;1;1;;;;;;1;;;;;;;;;2;1;;1;;;2;;;;;;1;;3;;;;;;
35884-5388;1;6;3;;;;11;;1;;3;3;;;9;1;;;;;;4;;;;;;;;1;;;;;;;;1;;;;;2;;;1;;1;;;;;;;;1;;5;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;2;1;;;;;;;2;;;;;;1;;;;;;;;;;;;;;
36950-5468;;;;;;1;9;1;;;5;6;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;;1;;;;;;;1;3;;1;;;;1;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;3;1;;;1;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;
31499-5388;;8;3;3;;3;25;1;5;;18;11;1;1;7;1;1;2;3;;;;;;;;;;;2;3;;;3;3;;;1;1;;;;;;2;3;2;7;;4;;;;;;2;;2;;;1;;;1;;4;;2;;;;;;;;;7;;;1;;1;1;1;;;;;;;;;;;;;;;8;;;;2;1;1;1;1;;;;;;3;2;;;;;;;;;;;;;5;;;2;;;;;;;;1;;1;
18163-6398;;1;;;;;9;1;;;3;5;1;;6;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;2;2;1;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;2;;;;;;;;;;;1;;;;;2;;;;;;1;;;;;;2;;;1;;;;;;;;;;;
36202-7274;;1;;;;;6;1;;;3;6;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;3;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36163-6388;3;9;;3;;2;19;;6;;14;13;;;12;3;3;;;;;1;;;;;;;1;;1;;;2;1;;;4;;1;;;;;1;;;3;;3;;1;;;;;;1;;1;;;;;;3;1;;1;1;1;;;;;;6;1;;2;;2;2;2;2;1;;1;;;;;1;;;;1;;9;;;;5;2;2;2;2;2;1;;;;;;;;1;;;;2;;;1;;;2;1;;;;;;;;;;;;;
36182-6398;;6;3;;;1;15;;2;;14;11;;;9;;;;2;;;1;;;1;1;1;;;3;;;;;;;;;;;;;2;2;1;;;8;1;6;;4;2;1;1;;;4;;2;1;;;;;2;2;;1;4;;2;2;2;;;9;;1;6;1;3;3;2;2;1;;1;;;;;1;;;1;1;1;9;;;;7;4;1;1;1;1;1;;;;;;;;;;;;1;1;;3;3;2;3;1;;2;1;;;;;;;;;;
11091-6388;;10;;3;4;4;27;;2;;15;16;;;15;;;;3;;1;;;;2;1;1;1;1;;2;;;2;2;1;;2;;;1;;;;1;;;8;;6;;3;2;2;2;;2;5;2;;1;1;;;;1;;1;;1;;1;;;;;9;;1;6;1;5;4;4;4;3;1;1;;1;;;1;;;;;;12;;;;8;6;5;4;4;4;3;;;;;;3;1;;;;;2;1;;2;2;2;7;;2;4;2;1;;;;;;;;;
22305-5468;;8;2;;;1;17;2;;;7;12;2;;15;;;;1;;;2;;;;;;;;1;;;;;;;;1;1;;;;;;1;3;1;3;;;;;;;;2;;5;;1;1;1;;2;;;;;1;1;;;;;;;2;1;;;;;;;;;;;;3;;;1;;;;2;1;6;;;;1;;;;;;;3;;;4;2;;;;;;;1;;;3;3;1;4;;;3;2;1;;;;;;;;;
22293-7098;;3;;;11;2;11;1;5;;26;14;1;;9;;4;;1;;;;;;1;1;;;;;;3;1;;;1;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;1;1;5;1;;;1;;;;;2;2;4;;;3;;2;2;2;;;1;;1;3;1;;1;3;1;;;;13;;1;1;1;1;1;1;1;;;1;1;;2;2;;;;;1;1;;;;1;1;;5;;1;4;3;1;;;2;1;;;;;
13420-6398;;9;;1;;1;26;1;;;8;11;1;;23;;1;;;;;3;2;1;;;;;1;;1;;;1;1;;;6;;2;;;;;1;2;;3;;2;;;;;;;1;12;;1;4;2;;1;;;;;1;;;;;;;;1;;;;;;;;;;;;;4;3;;;1;1;;2;1;7;;;;1;;;;;;;4;3;;;;1;;;;;;1;;3;1;1;1;6;;;3;2;1;;;1;;;;;;
36093-7274;;4;;;;;7;1;;;8;9;;;4;;;;1;1;;;;;2;2;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;1;;;1;;1;1;;;;;;;1;;;;;;;;;4;;;;;;;;;;;;;;2;1;1;;;;;;;;;;;;1;;;;;;;;;;;;;;
18070-6388;;8;;;;1;24;;3;;7;23;;;12;1;2;;3;;1;;;;2;1;1;1;2;;;;;;;;;2;;;1;;;;;;;11;;3;;;;;;1;2;3;;2;1;1;;;;1;;;3;;;;;;1;1;1;;;1;;;;;;;;1;;;;;2;;;3;1;;5;;1;1;1;1;;;;;;;;;1;;2;1;2;2;;;2;;;5;;;3;;;2;1;;;;2;;;;;;
35983-5468;;13;5;;9;6;21;;5;;36;27;4;1;8;;4;;1;1;;;;;6;5;1;1;;3;;3;;;;;3;1;;;;;2;1;2;4;2;8;;6;;1;;;;;;2;;;;;;;;5;;1;1;;;;;;;;8;;;5;;5;2;1;;;1;;;1;;;1;;;;;;19;;;;5;3;3;1;1;;;;;;3;2;;;4;3;2;1;1;;;;;;;;;;;;;;4;1;;;;;
36002-6398;1;15;1;1;1;2;18;1;;;19;17;;;18;1;;;3;;1;;;;2;2;1;1;1;;1;;;1;1;1;;2;;;1;1;;;1;2;;8;;5;;2;1;;;;1;2;;;;;;1;1;;;;3;;;;;;;;12;2;;8;;5;4;2;1;1;;2;;1;1;1;2;;;;;;13;;;;7;4;3;2;2;1;1;;;;;;1;1;;;;;1;1;;;;;4;1;;;;;;;;;;;;;
13190-5468;;9;;;;;24;1;8;;16;13;3;;8;;1;;1;1;;1;;;3;1;;;1;;;;;;;;;1;;;;;;;;;;5;1;2;;1;;;;;;4;;;1;1;;1;;8;1;;;1;;;;;;;1;;;;;;;;;;;;;1;;;;1;;3;2;;4;;;;1;;;;;;;;;;;;1;1;;;;;;;;1;;;4;;1;2;2;;;;;;;;;;
35668-6388;;6;;;;;16;;1;;1;4;;;5;;;;;;;2;2;;;;;;;;;;;;;;;4;;1;;;;;;1;;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35513-5469;;8;;1;1;4;27;1;;;5;18;;;12;;5;1;2;2;;;;;6;1;1;;2;;1;;;1;1;;;5;1;;2;;;;2;3;1;8;;3;;3;1;1;;;2;8;;1;4;2;;1;;;;;1;2;;1;;;;;4;1;1;1;1;1;;;;;1;;;1;;;;;;3;2;;4;;;;4;1;1;;;;;;;;1;;3;1;;;;;1;;5;2;;;6;1;;2;1;1;2;;;2;;1;;1;
31698-7274;2;6;;;;;8;1;;;1;2;;;;2;;;2;1;;2;1;;1;1;;;;;;;;;;;;4;1;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36279-7098;;1;;;;;6;1;1;;6;8;;;10;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;1;;1;;1;;;1;;;;;;1;1;4;1;;3;;3;3;2;1;1;1;;;2;2;2;;;;;;;3;;;;2;1;1;1;;;;;;;1;1;;;;;;;;;;;;;3;;;1;;;;;;;;;;;
36188-6398;;8;;1;;1;19;1;2;;18;11;1;;27;;7;;1;;;2;1;1;;;;;;;;;;1;;;;2;;;;;;;;1;1;6;;6;1;3;3;2;1;;;7;1;;1;;;1;1;2;;;;1;1;;;;2;2;5;;;5;;3;1;;;;;;2;;;;;6;3;;;;10;1;;;4;4;3;1;;;;;;;;;1;;;;1;1;1;;;1;1;;5;;;2;;;;;3;3;;;;;
15396-5469;;5;;;;;11;;;;;;;1;4;;1;1;2;;;;;;;;;;1;;;;;;;;;4;2;;;;;;;;;;;;;;;;;;;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;1;;;;;1;1;1;1;1;
37225-6388;;2;;;;;9;;1;1;3;7;;;5;;3;;;;;;;;1;1;1;1;;;;;;;;;;2;;;1;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;1;;;;;2;;;;;2;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;
31753-7118;1;10;;1;;2;19;1;;;14;14;;1;26;1;2;1;;;;1;;;2;1;;;1;;1;;;1;1;;1;2;;;1;1;;;;;;4;;1;;1;;;;;1;5;;1;1;;;1;1;;;;2;;;;;;;;4;;;;;;;;;;;2;;;;;2;;;;;;8;;;;1;;;;;;;;;;1;;2;1;1;;;;3;;;2;1;;8;1;1;2;1;1;1;;;;;1;;;
31199-6388;1;10;;;;;36;1;6;;17;29;;;20;1;5;;;;;1;;;;;;;;;;;;;;;;6;;;;;;;;9;1;13;1;8;;4;2;1;;2;;5;;;1;1;;1;;4;;1;;3;2;;;;2;2;7;;3;2;2;1;;;;;;;1;;;;;3;;1;1;;13;;;;6;2;1;;;;;;;2;3;1;;;;;;;;;;;;;1;;;1;;;;;;1;;;;;
27601-7118;1;10;;2;12;7;61;1;4;;18;24;;2;23;1;9;7;;;;5;2;1;3;2;1;;1;;2;2;1;2;2;;2;5;;2;2;2;;;4;5;;13;1;10;;5;2;1;1;;1;13;;1;4;2;5;1;;4;4;;1;8;;1;;1;;;6;1;3;2;1;1;1;1;1;1;;;1;;;;;3;1;1;2;;13;1;;;5;2;1;1;1;1;1;;;2;;;4;2;;;;;2;;1;2;;;9;1;;4;2;;4;;1;;5;1;1;;
36399-6398;2;15;14;2;1;3;22;1;;;3;4;1;;11;2;3;;;;;1;;;;;;;;12;;;;2;;;;;;;;;12;10;;1;;2;1;1;;;;;;;;2;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;2;;;;;;;;;;;;;;;;;;1;1;;;1;;1;;;;3;;;1;;;1;;1;;;;;;
31374-5469;;6;;3;1;4;40;1;9;;25;23;;1;21;;2;3;;;;3;2;1;;;;;;;1;;;2;1;;;5;;2;;;;;1;;;9;2;5;;;;;;;;10;1;1;1;;1;1;;9;3;2;;6;2;1;;;4;4;3;;1;;;;;;;;1;;;10;5;;;1;1;;8;3;12;1;4;4;;;;;;;;7;3;1;;;;;;;;;1;;1;2;1;;2;;;1;;;1;;1;;2;2;2;1;
17540-5468;1;7;1;2;5;3;46;2;3;2;27;35;5;1;16;1;5;2;;;;2;;;1;;;;;;1;;;1;1;;1;4;;;1;;;;2;3;2;19;2;9;;3;;;;1;2;7;1;;2;;1;2;1;3;;;;2;;;;;1;1;8;;2;3;1;2;;;;;;1;1;3;1;;1;2;;2;4;;18;;1;1;7;3;2;;;;;1;1;1;3;1;2;1;;;4;3;1;;1;1;1;;5;;;1;1;1;1;1;;1;2;;;;
36223-5468;;1;;1;;1;4;1;;;3;3;;;2;;2;;;;;;;;1;1;1;;1;;1;;;1;;;;1;;;;;;;1;;;2;;1;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;3;;;1;;;;;;;;;;;;;;;;;1;;2;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;
29058-6398;1;10;1;10;2;7;26;;3;6;16;19;;1;10;1;6;3;2;2;;;;;2;;;;;;7;;;2;2;;3;5;;;;;;;3;3;1;4;1;2;;1;1;1;1;1;;1;;;1;1;3;;;2;1;;;1;;1;;;;;1;;;1;;1;1;1;1;1;;;;7;5;;1;3;;;5;;10;;;;1;1;1;1;1;1;1;6;5;2;2;1;2;1;;;;;3;2;;;;;8;2;;7;5;4;;5;;;3;;;;
36008-7098;;5;;1;;1;10;3;1;;9;12;;;6;;1;;3;1;2;;;;3;2;;;2;;1;;;1;1;;;4;3;;1;1;;;;;;4;;3;1;1;;;;;;;;;;;;3;2;1;1;;3;2;;;;;1;1;2;;;;;;;;;;;;;;;;;1;1;;;;8;1;;;2;;;;;;;;;1;;;1;1;;;;;1;1;;2;1;1;4;1;1;2;2;1;;;1;;;;;;
12526-6388;;3;1;;;;9;;6;;7;7;1;;1;;;;2;1;;;;;1;;;;;1;;;;;;;;2;1;;;;;;;;;4;;1;;1;;;;;;;;;;;;;;4;;;;1;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
35969-7118;;9;;4;21;7;66;2;2;;31;33;;;22;;7;8;2;;;;;;2;1;1;;;;3;4;1;4;3;;;1;;;1;;;;1;;;8;;5;;1;;;;;;3;;;1;;3;2;2;2;;;1;8;;1;1;;;;10;;3;2;;1;1;;;;1;;;2;1;;;;;1;3;;21;3;;;8;2;1;1;;;;1;;;;;1;;;;;;;;;2;1;;3;;1;1;;;1;;;1;6;5;3;1;
36285-5468;1;22;1;1;19;4;64;;6;1;63;48;4;2;30;1;7;4;1;;;2;;1;2;2;1;;3;;1;3;;1;1;1;;5;;;2;2;1;;1;4;;28;2;22;;12;7;5;2;;2;8;1;;2;;;;;6;;;5;3;;2;;;1;1;26;3;1;14;1;9;6;2;;;;2;;1;;;3;1;1;;2;;37;;;;18;9;7;4;2;;;;;1;;;2;1;2;;1;1;3;;;2;1;1;8;;1;1;;;;1;2;;4;3;3;1;
36128-5388;1;6;2;5;7;4;35;1;;;18;12;2;;13;1;1;1;;;;;;;;;;;;1;4;;;1;1;1;;1;;;;;1;;2;1;1;5;;4;;1;1;1;1;;;1;;;;;;1;1;;;;1;2;;;;;;;5;;1;3;1;2;2;1;1;;;;1;1;1;;1;1;;;;;9;;;;2;2;2;2;1;1;;1;1;;;;;;;;1;;1;;;1;1;1;5;1;;2;1;;;;;;;1;;1;
31286-6388;;9;1;;3;5;25;;1;;3;13;;;24;;;1;;;;3;;1;1;1;1;1;2;;;;;;;2;;2;;;1;1;;;2;;;7;1;2;;2;1;;;;1;9;;;2;1;1;;;;;;;;;;;;;;3;;;2;;1;1;1;1;1;;1;;;;;1;;;;4;1;3;;;;3;2;1;1;1;1;1;;;;;;1;;;;;;2;;;;;;6;1;;1;;;;;;;;1;;1;
35872-5468;;3;;;17;3;24;1;2;1;11;9;2;;14;;3;;2;;1;1;;;;;;;1;;;8;2;;;;;1;;;;;;;1;4;1;7;;6;1;;;;;;;7;1;1;;;;1;;2;;1;;5;;2;1;;1;1;1;;1;1;1;1;;;;;;;;3;2;;;1;;;;;8;3;1;1;;;;;;;;3;2;;;;;;2;;;;2;2;;1;1;;4;;;3;1;1;1;1;;;;;;;
11848-7098;1;5;;;;;11;1;2;;11;10;;;3;1;2;;;;;1;;1;1;1;1;1;;;;;;;;;;2;;;1;1;;;;;;5;;5;1;1;1;;;;;1;;;;;;1;1;2;;;1;2;;1;1;;;;3;;1;2;1;1;;;;;;;;2;1;;;2;;;1;;8;1;;;3;2;1;;;;;;;1;;;1;;1;1;;;;;;;;;;;;;;;;;1;1;;;;;
36094-5388;;4;;;9;4;21;1;7;2;31;16;1;;4;1;11;1;3;2;;1;;;2;1;1;1;;;;3;1;;;;1;2;2;;;;;;2;4;;4;;3;;1;1;;;;;1;;;;;;1;1;6;;2;;1;;;;;2;;9;;;3;;1;1;1;1;;;1;1;;;;1;4;1;;;;10;1;1;;4;2;1;1;1;1;;;;2;2;1;1;;;;1;;;;1;2;;;2;;1;2;2;2;;2;2;4;;1;;1;
30907-5388;;1;1;;;;11;;;;1;3;;;7;;;;1;;;;;;;;;;;1;;;;;;;;1;1;;;;;;;;;3;;1;1;;;;;;1;2;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;5;;;2;1;1;;;;;;;;;
28007-5388;1;9;;;;1;16;;;;5;8;;;13;1;1;;2;;;1;;;1;1;;;;;;;;;;;1;1;;;;;;;;1;;3;;1;;;;;;;;7;1;;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;1;;;4;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;5;;;1;;;1;;;1;;;;;
3559-7274;;4;;;;;15;2;5;;19;17;;;13;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1;6;;5;;;;;;;;5;3;;;;;2;1;4;;1;;;;;;;2;2;6;;;2;;;;;;;1;;;2;;;;;;1;2;;11;;2;2;3;2;;;;;;1;;;;;1;1;;;;;3;;1;2;1;1;2;;;1;;;;;;;;;;;
29800-5468;;1;;;1;1;10;1;1;1;4;8;;;1;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;1;4;1;2;;2;1;1;1;;;1;;;;;;1;;1;;;;1;;;;;1;1;4;;1;3;1;2;2;2;2;1;;;1;1;1;;;1;;;1;1;4;;1;1;4;3;2;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31300-5469;1;7;;;;1;7;1;;;2;7;;;8;1;;;2;;1;;;;;;;;3;;;;;;;;1;1;1;;;;;;1;;;3;;1;;;;;;;;1;1;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;1;;;2;;;1;;;;;;;;;;;;;;;;1;1;;;;;5;;;1;;;2;1;1;1;1;1;;;;;;;;;
23180-5388;;2;1;2;;1;14;1;1;;9;7;;;4;;9;;;;;2;1;;;;;;;1;1;;;1;1;;;1;;1;;;1;1;;;;4;;3;1;1;;;;;;3;;;;;;1;;1;1;;;3;;1;1;1;;;2;;;1;;1;;;;;;;1;;;;;3;;;1;;4;1;;;1;;;;;;;;;2;;;;;2;;;;;;;;;;;;;;;;2;;2;2;;;;;
36482-7118;;1;1;;;;11;2;2;;12;8;1;;3;;9;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;5;;2;;;;;;1;;;;;;;;2;1;2;;;;;;;;;;;2;;;1;;1;;;;;;;1;1;;;1;5;1;;;;4;;;;;;;;;;;1;;2;1;;1;1;2;1;;;;;;1;;;1;;1;;;;;;3;1;;;;;
29492-7118;1;8;;;8;3;26;1;1;;8;8;;;14;1;;;2;;1;1;;;;;;;1;;;1;;;;2;1;4;;;;;;;1;;;3;;3;;1;;;;;;6;;;3;1;;1;1;1;;;;1;;1;1;;;;1;;1;;;;;;;;;;;;;;1;;;1;1;1;6;1;;;1;;;;;;;;;;;;;;;;;;2;;;1;1;;5;1;;3;;;;;;;;;;;
