aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;17>30>31>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>2>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>48>;49>49>;49>49>48>;49>49>49>;
36491-7098;1;11;;1;;3;;16;1;4;;23;17;;;8;1;2;;5;2;;;;;2;2;;2;;1;;;1;;;;1;1;1;;;;;;;1;1;1;;7;;3;;1;;;;;;1;;2;;;;;;;1;1;4;;;;;;;;;;1;1;6;;;2;;2;2;2;2;2;;;;;;;1;1;;;11;;4;1;1;1;1;1;;;;;1;1;1;;;;;1;1;;;;1;;;;;1;;;1;1;;;;;
36075-7098;;9;;;5;2;;9;1;2;;16;15;;1;13;;2;;3;2;;;;;3;2;;2;;;3;3;;;2;;;1;;;;;;;;1;;;;2;;2;;2;2;1;1;;;;;1;;;1;;;;1;1;2;;1;1;4;1;;;;1;1;1;12;3;;7;;4;4;2;1;1;;;1;;;2;;2;;;12;;8;6;3;3;2;1;;;;;;;1;1;;;;1;;;3;3;3;;2;;;;;1;;;;;;;
31347-5469;2;12;;;5;3;;35;3;;;12;17;3;1;10;2;3;3;3;;5;2;1;1;2;2;;1;;;1;1;;;;1;;8;2;1;1;1;1;;;1;;3;;7;;5;1;2;1;;;1;2;;;5;;1;2;1;3;2;3;2;;;;;;5;;2;2;1;;;3;;2;1;1;;;;;;;;5;3;;;1;;2;;12;3;3;1;;;;;5;3;;1;2;;;;;3;2;1;;;1;;2;;;1;1;1;;;;;1;2;;1;
36509-5469;;17;4;2;15;5;2;35;1;4;;24;26;2;;30;;2;;2;;4;;3;;5;4;4;4;2;1;8;4;2;1;1;;1;6;;1;2;2;1;1;;2;;1;;10;;6;;2;1;1;1;;;;1;6;;;1;;;;1;1;4;;1;;;3;1;;;;1;1;13;;2;10;1;5;2;1;1;;2;;2;;;2;;3;3;1;15;;9;7;4;2;1;1;;;1;;1;;3;;2;2;1;6;;1;3;;4;1;1;1;1;1;;1;;;;;;;
36143-5468;2;16;3;1;1;2;;22;4;7;;25;21;3;1;23;2;5;;3;1;1;;;;3;2;1;2;2;1;;;1;1;1;;;4;;;;;1;1;1;2;1;1;;3;;3;;2;1;;;;;;1;7;3;;2;;;;4;3;7;2;2;3;;6;;;;4;1;1;10;;3;6;1;3;2;2;1;1;3;;6;4;4;;;2;1;;16;2;9;4;2;2;2;1;;;;;;;;;2;1;1;3;;;2;1;6;;1;1;1;1;;2;1;;;;;;
36526-5388;;6;;;16;2;1;31;;5;2;20;20;;;3;;18;;;;;;;;2;2;1;;;;7;2;;;1;;;4;;;1;1;;;;1;;1;;14;;13;;3;1;1;1;;;;;2;;;;;;;;;5;;1;;;;;;;;2;2;7;;;1;;1;1;;;;1;1;1;1;1;;4;1;;;18;;7;1;1;1;;;;;;2;;;;;;;;;;;;;;;;;;1;1;;5;1;;;;;
27934-7098;1;5;;;;;;25;1;3;;13;20;3;;12;1;3;;1;;1;1;;;2;1;;;;;;;;;;;;4;;;2;1;;;;;;2;1;11;;4;;1;;;;;2;;;5;;;2;1;;;1;;3;;;1;;2;;2;1;;2;2;3;;;2;;;;;;;;1;2;1;;;1;;2;;8;1;3;2;;;;;;;;;2;2;1;;;3;2;;;;2;;3;;1;2;;3;;;;;;;;;
31105-4604;;3;3;1;;1;1;16;;;1;5;6;3;;8;;4;4;;;1;;;1;;;;;1;;;;1;;;;;1;;1;;;;2;1;1;;;;2;;1;;;;;;1;;;;4;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;2;;5;;;;;;;;3;3;;;;;;;;3;3;1;;;;;1;;;;;;1;;1;;3;2;2;1;
15818-5469;;7;;;2;4;1;21;1;;;6;13;;;22;;;;;;;;;;2;1;1;;;;;;;;;1;;1;;;;;;;;1;;1;;5;;2;;1;;;;;;1;;5;1;;1;;;;1;;;;;;1;;;;;;;;4;1;;2;;1;;;;;;;1;;;;;1;;;5;;4;2;1;;;;;;;;;;2;1;;;;2;;;1;;4;;1;1;;;;;;;;;;;
35675-5388;;17;3;;30;3;;85;1;6;1;62;55;7;;44;;9;2;7;1;4;3;;;1;1;;2;3;;15;9;;;2;;1;7;4;1;;;;2;2;2;;2;;33;;24;2;3;1;;;;;2;4;13;;1;3;;;;1;1;6;1;;;1;9;1;1;;2;;;10;1;1;4;1;1;;;;;1;;3;3;;;4;2;1;;43;4;8;3;;;;;2;2;;4;;;2;;3;7;6;1;;2;1;1;12;;;2;;;;4;;;;2;;;
22788-5468;1;12;;3;6;6;;26;1;7;;24;21;;;21;1;1;;5;;1;;;;;;;2;;1;4;;3;1;;;3;3;2;;;;;;;2;1;1;;5;;4;;4;3;3;3;;;;;6;;;2;;;;1;1;7;;6;;1;1;;;;1;;;16;1;1;9;;7;5;3;3;3;3;1;7;5;1;3;1;;3;;14;;8;6;5;4;2;2;2;2;1;;2;1;1;;;;;3;1;1;1;1;7;3;1;1;1;;;;;;;;;;
30795-4130;;3;;;24;4;1;12;1;;;2;4;1;;1;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;
31556-5388;;15;7;1;23;5;5;49;1;;2;14;13;;2;26;;11;8;2;;3;;;;;;;1;4;1;8;5;1;1;;;;3;2;;;;;5;2;1;;;;5;1;;;;;;;;;;;9;1;;1;1;7;6;1;;;;;;;9;1;1;;2;;;1;;;;;;;;;;;1;;;;;3;2;2;1;1;1;;;;;;;;;;;1;;1;1;5;;;3;;1;1;;6;;1;4;1;1;2;3;2;;4;7;4;4;
36278-7274;;9;;;;;;17;1;7;;29;15;;;10;1;4;;1;;1;;;1;2;1;;;;;;;;;;;;2;1;;1;1;;;;;;;;5;;3;;;;;;;1;;;4;1;;2;2;;;1;;6;;2;;;1;;;;;;;7;;;1;;;;;;;;;;;;1;2;;;;10;;1;;;;;;;;;1;2;2;;;2;;;2;;2;;;3;;;3;2;;;4;;;;;;;
31364-4605;;10;;;10;4;;32;1;4;5;24;28;1;;19;;18;7;1;;2;2;1;;;;;;;;1;;;;1;;;5;;1;;;;;;3;;1;;13;4;9;;;;;;3;;;;10;1;;;;6;;1;1;4;1;;2;;2;;1;;1;;;1;;;;;;;;;;;;10;8;1;2;6;;8;2;19;1;1;;;;;;5;5;1;5;1;1;1;1;1;1;1;4;1;1;1;1;2;;;1;;2;5;2;3;2;7;1;1;;
35951-5469;;2;;;;;;7;1;;;5;4;;;4;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;;1;;;;;;;;;;1;;;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;1;;;;1;;;;;1;;;;;;;;;;;;;;
31748-4604;1;12;;1;3;3;;27;1;1;;11;11;1;;37;1;2;;1;;;;;;;;;2;;;;;1;;1;1;;3;1;;;;;;;1;;1;;3;;2;;1;;;;;;;;11;;;4;1;;;1;;1;;;;2;;;;;;;;1;;;;;;;;;;1;;3;;;;;;1;;6;;1;;;;;;;;;;;;;;;;;2;;;1;1;12;;1;5;2;;;;;;;;;;
31084-4605;;3;1;;;;;14;1;;;8;10;2;;3;;1;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;1;;;;1;;7;;4;1;2;1;;;;;;;2;;;;;;;1;;;;;;;3;;;;;;;3;;1;1;1;;;;;;;;;;;1;;;;;6;1;3;1;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;1;1;;;1;;1;
27503-4130;;7;1;1;1;3;;17;2;8;;35;19;;;11;;3;;;;;;;;4;4;2;2;1;;1;;1;;1;;;3;;;2;2;;1;1;1;;;;3;;2;;;;;;;;;;6;2;;2;;;;2;1;8;;3;1;;3;;;;1;1;1;11;;3;3;2;2;1;;;;;1;1;1;1;;1;;;;16;;6;3;2;1;;;;;;;1;1;;;1;;;4;1;;;;2;1;;;;;;2;;;;;;;
36483-7274;1;7;;;;;;28;2;3;;16;21;;;2;2;6;3;3;1;1;1;;;1;1;;;;;;;;;;;;5;3;;;;;;;;;;;16;1;8;;6;2;1;;;;;;;;;;;1;1;2;;3;;2;;;3;;1;;;1;1;10;;2;4;1;2;;;;;1;2;1;;;1;2;2;2;;12;1;8;4;2;;;;;;;;3;1;;;;;;;;;2;1;1;;1;1;1;;;2;2;;3;2;2;;
